Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
npwr,1258,1334768461414.4,402.8519635915756,1337345441792,1330366119936,0.005218787635487756
ocelot,1266,1350445092044.8,387.9083007097244,1353451569152,1345935376384,0.005553351844506148
olpce2294,1274,1398280290304.0,409.67443759441375,1404991176704,1391032532992,0.009935040122277417
olpch2294,1261,1314904237670.4,395.01682767868044,1322313056256,1305133187072,0.012992285830288266
olpcl2294,1273,1393448452096.0,384.40939152240753,1400696209408,1387274436608,0.009582215408202376
or-100-10-2-UC-30,200,430938521.6,245.01418929100038,432144384,428605440,0.00818926296633303
or-50-5-3-UC-20,100,19048038.4,192.01903891563416,19152896,18907136,0.01283147989734816
or-60-5-2-UC-30,120,54719283.2,175.381698179245,55017472,54444032,0.01042287075640262
or-70-5-1-UC-20,140,78748057.6,241.135724401474,79036416,78413824,0.007877280265339967
p2106,1249,1263310943027.2,380.13869442939756,1269699706880,1257351675904,0.009725158562367865
pati,1248,1272759871078.4,409.2108510732651,1277215899648,1268625965056,0.006725514922236234
pc_i82544,1259,1344807947468.8,416.89220621585844,1348619730944,1339492925440,0.006767515923566879
pc_i82559,1259,1344110015283.2,395.5312349557877,1348619730944,1340566667264,0.005971337579617835
pc_rltk8139,1257,1361612007014.4,408.3065293312073,1364725858304,1359357149184,0.003933910306845004
pc_usb_d12,1281,1421258365337.6,372.9841061115265,1423781658624,1419486691328,0.0030165912518853697
pc_vmWare,1255,1331064052121.6,393.70060415267943,1338419183616,1326071152640,0.009225832330525471
phycore,1274,1371597805977.6,384.8932837724686,1373852663808,1367410212864,0.004689331770222743
phycore229x,1360,1708806425804.8,457.1448002576828,1713691951104,1705638887424,0.004699248120300752
picasso,1248,1267283787776.0,416.6614892721176,1275068416000,1263257255936,0.009263157894736843
pid,1229,1176498916556.8,375.79215800762177,1179505393664,1171720765440,0.0065999089667728725
polynomial.sk_7_25,313,1369754828.8,497.9366921186447,1374683136,1365245952,0.006864988558352402
prpmc1100,1223,1157976870092.8,388.6781366109848,1161520218112,1154004025344,0.006470996071180957
psim,1181,1015196051046.4,380.0085476875305,1017101942784,1012001669120,0.005014515703351808
rattler,1311,1614854016204.8,398.7070246219635,1619202670592,1612223348736,0.004310344827586207
ref4955,1218,1148071601766.4,358.19788587093353,1151051235328,1144340348928,0.005830223880597015
refidt334,1263,1382711033856.0,360.6899034976959,1387274436608,1378684502016,0.006191950464396285
registerlesSwap.sk_3_10,372,3357854924.8,374.5528841018677,3370123264,3341811712,0.008400746733042938
s27_3_2,20,33742.4,29.106849336624144,33792,33648,0.004261363636363636
s27_7_4,24,59339.2,35.28205087184906,59504,59200,0.005108900242000538
s27_new_7_4,17,14782.0,20.475489997863768,14808,14768,0.002701242571582928
s298_15_7,292,3563375820.8,245.41380891799926,3578789888,3553624064,0.007031936712569587
s298_7_4,223,1190081331.2,200.07201681137084,1194852352,1186988032,0.006581834137779728
s344_3_2,197,762498252.8,207.312007522583,766246912,759955456,0.008210742387957578
s344_7_4,215,1068315443.2,208.00856080055237,1072693248,1065091072,0.007086999022482893
s349_15_7,285,3245028147.2,234.13682100772857,3260022784,3231711232,0.008684464458025088
s349_3_2,198,736257638.4,180.4233561515808,740294656,734527488,0.007790368271954674
