Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
baital_4step,165,123511554,43.791142153739926,-1,-1,-1
baital_5step,177,90768097,52.94012224674225,-1,-1,-1
baital_90-10-5-q,460,24677424747,12.736033368110657,-1,-1,-1
baital_XSEngine,1260,1185033508082,29.210348176956177,-1,-1,-1
baital_aaed2000,1284,1271452953977,29.485247898101807,-1,-1,-1
baital_adder,1272,1211777133082,29.321863651275635,-1,-1,-1
baital_adderII,1276,1215834635478,29.762005472183226,-1,-1,-1
baital_aeb,1213,990671397691,30.87608230113983,-1,-1,-1
baital_aim711,1264,1194982351579,30.083564400672913,-1,-1,-1
baital_aki3068net,1207,976280172034,30.765635800361633,-1,-1,-1
baital_am31_sim,1165,848361259073,30.588815784454347,-1,-1,-1
baital_asb,1231,1084168855192,30.85823335647583,-1,-1,-1
baital_asb2305,1242,1102160883445,31.426319122314453,-1,-1,-1
baital_assabet,1266,1140051854701,32.04199826717377,-1,-1,-1
baital_at91sam7sek,1296,1278082395470,31.633071184158325,-1,-1,-1
baital_at91sam7xek,1319,1422470657460,30.837689328193665,-1,-1,-1
baital_atlas_mips32_4kc,1216,1001954088984,30.562115812301634,-1,-1,-1
baital_atlas_mips64_5kc,1209,966486620221,30.570957565307616,-1,-1,-1
baital_blasted_case1,187,492445690,26.60281846523285,-1,-1,-1
baital_blasted_case10,328,5629662050,21.887520575523375,-1,-1,-1
baital_blasted_case100,72,11679113,22.527197813987733,11642499,96.94633388519287,0.003144857474327462
baital_blasted_case102,34,422672,27.639102697372437,420254,6.761220932006836,0.005753663260789904
baital_blasted_case103,32,357927,23.79729745388031,359378,5.245715141296387,0.004037531512780415
baital_blasted_case105,170,422073552,16.96151468753815,423823958,3453.864870786667,0.004130030799249909
baital_blasted_case106,204,888401977,17.455803513526917,-1,-1,-1
baital_blasted_case108,205,810346946,19.851734399795532,-1,-1,-1
baital_blasted_case109,241,1578593356,20.78421244621277,-1,-1,-1
baital_blasted_case11,105,47502232,27.16812138557434,47380888,394.2601315975189,0.0025610326256443315
baital_blasted_case110,287,1999484282,38.70873680114746,-1,-1,-1
baital_blasted_case111,306,2559125819,39.56526615619659,-1,-1,-1
baital_blasted_case112,137,122726771,37.642862868309024,121793328,1116.6828966140747,0.007664155461783588
baital_blasted_case114,428,12477383807,33.67524001598358,-1,-1,-1
baital_blasted_case116,438,12641422849,38.55578291416168,-1,-1,-1
baital_blasted_case118,309,2691522966,39.33825805187225,-1,-1,-1
baital_blasted_case120,284,3074760294,23.33485312461853,-1,-1,-1
baital_blasted_case121,291,2820474923,29.152362513542176,-1,-1,-1
baital_blasted_case122,314,2557266962,43.40004847049713,-1,-1,-1
baital_blasted_case123,267,1642085596,36.955178666114804,-1,-1,-1
baital_blasted_case124,133,150760640,21.003638172149657,149566527,1093.8190577030182,0.007983825150930997
baital_blasted_case125,393,7214070733,40.85730128288269,-1,-1,-1
baital_blasted_case126,302,2609023829,39.58996489048004,-1,-1,-1
baital_blasted_case127,36,456768,35.248160338401796,452097,8.327178001403809,0.01033185356239922
baital_blasted_case131,432,13248558045,32.61834163665772,-1,-1,-1
baital_blasted_case134,60,5078834,25.009954857826234,5048717,48.04904890060425,0.005965277911200014
baital_blasted_case135,236,1167216201,28.511435890197752,-1,-1,-1
baital_blasted_case136,211,979653080,23.813088846206664,-1,-1,-1
baital_blasted_case14,247,2017819678,15.198901581764222,-1,-1,-1
baital_blasted_case140,488,30445351058,18.402110743522645,-1,-1,-1
baital_blasted_case145,219,1198431885,16.801102447509766,-1,-1,-1
baital_blasted_case17,77,13424261,26.364440751075744,13496322,125.00397062301636,0.00533930651624939
baital_blasted_case19,397,13594451429,17.825298285484315,-1,-1,-1
baital_blasted_case2,296,3415787796,22.25324430465698,-1,-1,-1
baital_blasted_case200,14,3333,11.369517278671264,3333,0.2768690586090088,0.0
baital_blasted_case203,214,943807922,26.112961316108702,-1,-1,-1
baital_blasted_case22,126,71163187,36.39301028251648,70616929,746.9405863285065,0.007735510560081139
baital_blasted_case24,65,7153393,22.168524932861327,7176509,64.47417283058167,0.0032210647265961765
baital_blasted_case25,68,7763051,26.927439904212953,7838468,76.87755131721497,0.009621395405326654
baital_blasted_case31,53,2830554,26.373952198028565,2811955,30.9527325630188,0.006614259474280349
baital_blasted_case32,52,2641146,25.153683471679688,2665129,29.513482093811035,0.008998813941088781
baital_blasted_case33,51,2557887,24.73382422924042,2546315,27.318633794784546,0.004544606617798662
baital_blasted_case34,409,9632518894,39.771263885498044,-1,-1,-1
baital_blasted_case35,400,11873700598,23.74969313144684,-1,-1,-1
baital_blasted_case36,64,6250290,32.49290189743042,6275948,59.94498348236084,0.004088306659009922
baital_blasted_case38,143,140550054,34.27887008190155,141136615,1570.0437047481537,0.0041559803598803895
baital_blasted_case39,245,1886023333,21.74850552082062,-1,-1,-1
baital_blasted_case4,103,48558554,22.202266764640807,48849792,748.7852087020874,0.0059619087016788115
