Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
baital_malta_mips32_4kc,1232,2762651.6,2.589922308921814,2774694,2753796,0.007531641326935511
baital_malta_mips64_5kc,1232,2773203.5,2.483770489692688,2781203,2762874,0.006590313616086276
baital_mb93091,1250,2877718.2,2.491146469116211,2888493,2863452,0.008669226478997871
baital_mb93093,1230,2774004.0,2.517936658859253,2778324,2768762,0.0034416432352742158
baital_mbx,1295,3071638.0,2.5116463184356688,3084017,3055815,0.009144566972231346
baital_mcb2100,1249,2803922.0,2.678239893913269,2813623,2788446,0.008948249285707432
baital_min-1s,168,53116.7,0.9802901029586792,53282,52974,0.005780563792650426
baital_moab,1277,2987177.9,2.518837237358093,2995534,2978049,0.005837022714480957
baital_mpc50,1213,2666572.0,2.6281436920166015,2676452,2655197,0.00794148372546939
baital_nano,1265,2919467.4,2.553335976600647,2930267,2909498,0.007087750024144557
baital_npwr,1258,2908720.3,2.5513097524642943,2919883,2895950,0.00819656130057266
baital_ocelot,1266,2901240.7,2.687138319015503,2915187,2893300,0.007507923162390612
baital_olpce2294,1274,2951080.1,2.5661410093307495,2957107,2942452,0.004955857194210422
baital_olpch2294,1261,2862118.9,2.667732810974121,2870123,2854330,0.005502551632804587
baital_olpcl2294,1273,2930224.7,2.64646430015564,2935638,2924116,0.003924870845792294
baital_or-100-10-2-UC-30,200,51941.6,5.24825074672699,52339,51476,0.01648866046351669
baital_or-50-5-3-UC-20,100,11162.7,6.514379358291626,11326,11055,0.023927247042203777
baital_or-60-5-2-UC-30,120,18671.0,5.128128409385681,18824,18500,0.017212069698257542
baital_or-70-5-1-UC-20,140,22332.8,6.311696600914002,22610,21929,0.030119416187527642
baital_p2106,1249,2810788.5,2.753551483154297,2821018,2794961,0.00923673652560884
baital_pati,1248,2799221.3,2.7066456079483032,2810875,2788200,0.008066883088006403
baital_pc_i82544,1259,2910199.7,2.3999532222747804,2920057,2899842,0.006922810068433595
baital_pc_i82559,1259,2891326.6,2.5401334524154664,2894833,2886246,0.002966319646072848
baital_pc_rltk8139,1257,2919413.8,2.473785400390625,2928259,2911140,0.005846135878008058
baital_pc_usb_d12,1281,3004539.1,2.596083664894104,3018781,2994149,0.008159584945049012
baital_pc_vmWare,1255,2910660.8,2.418201732635498,2919833,2903302,0.0056616251682887345
baital_phycore,1274,2905248.1,2.675081992149353,2912594,2894642,0.006163577896541708
baital_phycore229x,1360,3274036.6,2.963806486129761,3290654,3264976,0.007803312046784621
baital_picasso,1248,2826853.7,2.644826865196228,2840758,2816325,0.00860087342885244
baital_pid,1229,2731871.7,2.6484942197799684,2737838,2718916,0.006911292779192925
baital_polynomial.sk_7_25,313,101009.8,7.067739176750183,102128,99713,0.023646796177346077
baital_prpmc1100,1223,2732817.7,2.5507041931152346,2742726,2722301,0.007446970641617136
baital_psim,1181,2527347.7,2.6095736026763916,2538303,2512804,0.010045688004938732
baital_rattler,1311,3169065.7,2.3844109773635864,3174303,3158591,0.004949748023424355
baital_ref4955,1218,2686851.8,2.580870175361633,2706943,2677309,0.01094740450759399
baital_refidt334,1263,2953375.0,2.3667062282562257,2963853,2945850,0.006074187889885227
baital_registerlesSwap.sk_3_10,372,147649.8,7.614110064506531,149181,145969,0.02153089200367339
baital_s27_3_2,20,590.0,0.1498537540435791,590,590,0.0
baital_s27_7_4,24,744.0,0.2919606685638428,744,744,0.0
baital_s27_new_7_4,17,402.0,0.13279333114624023,402,402,0.0
baital_s298_15_7,292,156426.1,1.3813605546951293,156977,155806,0.007459691547169331
baital_s298_7_4,223,92086.8,1.2411341905593871,92374,91625,0.008108342174204863
baital_s344_3_2,197,73305.4,0.9976900815963745,73451,73194,0.0034989312602959795
baital_s344_7_4,215,86183.5,1.1416393756866454,86308,86022,0.0033137136766000835
baital_s349_15_7,285,148830.1,1.3664382219314575,149510,148020,0.009965888569326467
baital_s349_3_2,198,72458.9,1.2602034330368042,72716,72288,0.005885912316409043
baital_s349_7_4,216,86150.2,1.2797233581542968,86443,85961,0.0055759286466226295
baital_s382_15_7,350,227839.9,1.2952840328216553,228116,227260,0.0037524768100440126
baital_s382_3_2,263,126699.1,1.460586142539978,127087,126394,0.005452957422867799
baital_s382_7_4,281,143279.9,1.5450495719909667,143674,142909,0.0053245541990896055
baital_s420_15_7,366,220283.0,3.1944069623947144,221037,219317,0.00778150264435366
baital_s420_new_15_7,351,204731.0,3.0664987325668336,205348,203614,0.0084442020375168
baital_s420_new_3_2,294,144956.7,3.0486333847045897,145624,144486,0.007814645937482833
