Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
baital_4step,165,2265962,17.852961707115174,2249177,45.74483609199524,0.007462729700686073
baital_5step,177,1670752,22.60462839603424,1702312,53.47411918640137,0.018539492172997666
baital_90-10-5-q,460,112610702,4.383698987960815,113013171,2348.4816615581512,0.0035612574750247474
baital_XSEngine,1260,2183114412,9.54509334564209,-1,-1,-1
baital_aaed2000,1284,2313379556,9.51061224937439,-1,-1,-1
baital_adder,1272,2236395296,9.418380331993102,-1,-1,-1
baital_adderII,1276,2244700582,9.572787618637085,-1,-1,-1
baital_aeb,1213,1915659624,10.137775087356568,-1,-1,-1
baital_aim711,1264,2207402072,9.76456127166748,-1,-1,-1
baital_aki3068net,1207,1902340854,9.86230640411377,-1,-1,-1
baital_am31_sim,1165,1706689312,9.798233771324158,-1,-1,-1
baital_asb,1231,2041028655,9.916067576408386,-1,-1,-1
baital_asb2305,1242,2065265283,10.33912913799286,-1,-1,-1
baital_assabet,1266,2139176045,10.482141375541687,-1,-1,-1
baital_at91sam7sek,1296,2312996860,10.417056155204772,-1,-1,-1
baital_at91sam7xek,1319,2493607774,10.016495966911316,-1,-1,-1
baital_atlas_mips32_4kc,1216,1943358398,9.742958259582519,-1,-1,-1
baital_atlas_mips64_5kc,1209,1886600784,9.820343255996704,-1,-1,-1
baital_blasted_case1,187,6503109,8.209152793884277,6482026,70.15061736106873,0.0032525324643869064
baital_blasted_case10,328,39240613,6.492170238494873,39393360,3955.0595152378082,0.003877480874949484
baital_blasted_case100,72,391865,6.941999125480652,390372,4.491727352142334,0.0038245570891354912
baital_blasted_case102,34,32780,9.391434621810912,33033,0.610074520111084,0.007659007659007659
baital_blasted_case103,32,29677,7.687355613708496,29593,0.5018222332000732,0.0028385091068833844
baital_blasted_case105,170,5752425,4.608322739601135,5738466,54.17802333831787,0.0024325316208199193
baital_blasted_case106,204,9944539,4.801183652877808,9912786,86.8391227722168,0.0032032367086306515
baital_blasted_case108,205,9326403,6.026855111122131,9295739,85.49054074287415,0.0032987156803778593
baital_blasted_case109,241,15236036,6.178971171379089,15257793,144.12962651252747,0.0014259598357377113
baital_blasted_case11,105,1149638,8.337794518470764,1142386,14.300040245056152,0.0063481170112378825
baital_blasted_case110,287,19404857,12.477598762512207,19541202,248.72697591781616,0.006977308765346165
baital_blasted_case111,306,23748552,12.927147841453552,23487574,302.93494629859924,0.011111322097377958
baital_blasted_case112,137,2365454,13.025263595581055,2384450,27.667022705078125,0.007966617039568873
baital_blasted_case114,428,75789027,10.334394717216492,75398357,1019.0464849472046,0.005181412640065884
baital_blasted_case116,438,77418810,12.376636052131653,76948100,1099.1516404151917,0.006117240061807894
baital_blasted_case118,309,24622356,12.3036714553833,24420340,408.6053149700165,0.008272448295150682
baital_blasted_case120,284,25319190,7.0422684907913204,25178833,607.3639810085297,0.005574404500796363
