Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
4step,165,2244096,135.51396336555482,2251376,866.0137977600098,0.0032335780429390737
5step,177,1694720,153.8858182668686,1702314,602.0896553993225,0.004460986633488299
90-10-5-q,460,113147904,147.03282718658448,-1,-1,-1
XSEngine,1260,2330984448,228.60882329940796,-1,-1,-1
aaed2000,1284,2451570688,252.45558161735534,-1,-1,-1
adder,1272,2415919104,327.53874349594116,-1,-1,-1
adderII,1276,2431647744,259.7268125295639,-1,-1,-1
aeb,1213,2038956032,261.2078974485397,-1,-1,-1
aim711,1264,2343043072,255.0517455101013,-1,-1,-1
aki3068net,1207,2042626048,271.80887780189516,-1,-1,-1
am31_sim,1165,1814560768,259.1325419902802,-1,-1,-1
asb,1231,2139095040,264.9089802980423,-1,-1,-1
asb2305,1242,2174222336,277.6433173418045,-1,-1,-1
assabet,1266,2288517120,271.8442456483841,-1,-1,-1
at91sam7sek,1296,2451570688,268.8093716621399,-1,-1,-1
at91sam7xek,1319,2634022912,276.45185549259185,-1,-1,-1
atlas_mips32_4kc,1216,2084569088,264.7312014579773,-1,-1,-1
atlas_mips64_5kc,1209,2048393216,262.36003935337067,-1,-1,-1
blasted_case1,187,6561792,124.41905555725097,6539690,4235.242582321167,0.003379670901831738
blasted_case10,328,40681472,141.9921431541443,40563789,28590.861349582672,0.002901183614775237
blasted_case100,72,392064,68.68529732227326,390468,52.849748373031616,0.004087402808936968
blasted_case102,34,33080,24.53802673816681,33033,2.5318729877471924,0.0014228196046377865
blasted_case103,32,29520,22.539153480529784,29593,2.124919891357422,0.002466799580981989
blasted_case105,170,5820416,117.53266549110413,5843946,1888.2119960784912,0.004026389018652808
blasted_case106,204,10088448,116.86274700164795,10107526,4103.943374872208,0.0018875044199737898
blasted_case108,205,9308160,131.10162711143494,9348512,5236.014656543732,0.00431640885736682
blasted_case109,241,15405056,119.1145075082779,15438029,9827.938194513321,0.0021358296450926474
blasted_case11,105,1155840,81.7651103258133,1153267,354.2588601112366,0.0022310531732894464
blasted_case110,287,19734528,152.25096566677092,19604707,17964.717688322067,0.006621930131371002
blasted_case111,306,23584768,174.43566253185273,23627402,23625.559861660004,0.0018044302966530132
blasted_case112,137,2589696,107.972865152359,2597608,992.3912918567657,0.003045879131878251
blasted_case114,428,79036416,170.97361648082733,-1,-1,-1
blasted_case116,438,85327872,172.1186684370041,-1,-1,-1
blasted_case118,309,24453120,173.88672983646393,24548456,24684.859256744385,0.003883584368809183
blasted_case120,284,26296320,138.67944366931914,26360818,18119.739963769913,0.0024467374267369093
blasted_case121,291,23846912,148.34261965751648,23943572,18912.34411430359,0.0040369916401779985
blasted_case122,314,23453696,166.00213763713836,23530320,25078.140855312347,0.003256394303179897
blasted_case123,267,16588800,133.68064115047454,16609855,13148.72136092186,0.0012676209394964616
blasted_case124,133,2631680,99.65474870204926,2639946,823.642662525177,0.00313112465179212
blasted_case125,393,50675712,175.97397210597993,-1,-1,-1
blasted_case126,302,23855104,150.62327284812926,23953028,20912.561250686646,0.004088167892593788
blasted_case127,36,37584,39.857772731781004,37470,3.7374579906463623,0.003042433947157726
blasted_case131,432,84934656,175.14929234981537,-1,-1,-1
blasted_case134,60,212352,52.6394615650177,211759,25.225883960723877,0.0028003532317398554
blasted_case135,236,13189120,130.43897919654847,13250466,8718.44080209732,0.004629723965934481
blasted_case136,211,10711040,125.96465563774109,10671307,5233.192272901535,0.003723348976840419
blasted_case14,247,18419712,99.19775030612945,18466992,9864.756199598312,0.0025602437040098355
blasted_case140,488,142934016,151.0808713912964,-1,-1,-1
blasted_case145,219,12673024,118.66750726699829,12644479,5578.505939006805,0.002257507011558167
blasted_case17,77,443520,76.23869199752808,440798,82.25971150398254,0.00617516413413854
blasted_case19,397,76611584,151.78240437507628,-1,-1,-1
blasted_case2,296,26771456,148.89432413578032,26857882,26765.7448284626,0.0032179008009641267
blasted_case200,14,1098,0.053699278831481935,1098,0.05571460723876953,0.0
blasted_case203,214,10760192,129.0076196193695,10718586,5858.754896879196,0.0038816687201091637
blasted_case22,126,1505280,91.58232715129853,1498600,487.31551790237427,0.0044574936607500336
blasted_case24,65,283008,48.52845568656922,283458,46.04249572753906,0.0015875367779353555
blasted_case25,68,304768,71.15027446746826,305683,55.65090799331665,0.0029932969775878933
blasted_case31,53,137184,47.66574237346649,137540,16.49307131767273,0.002588337938054384
blasted_case32,52,133280,48.29662203788757,132939,15.816604137420654,0.0025650862425623784
blasted_case33,51,128608,48.62851603031159,128436,15.31683349609375,0.0013391883895481017
blasted_case34,409,68567040,159.2743936777115,-1,-1,-1
blasted_case35,400,69599232,154.95553188323976,-1,-1,-1
blasted_case36,64,248960,49.99976763725281,249575,38.185494899749756,0.002464189121506561
blasted_case38,143,2620416,119.61978297233581,2630619,1143.2218985557556,0.0038785548192269577
blasted_case39,245,18337792,100.16866173744202,18384916,9209.480882406235,0.0025631882136420967
blasted_case4,103,1124096,79.12182805538177,1126307,279.1785898208618,0.001963052702327163
blasted_case43,116,1539072,92.9804158449173,1535457,506.23723578453064,0.002354347923777742
blasted_case44,173,5287936,126.9450330734253,5265215,2610.6080923080444,0.004315303363680306
blasted_case46,176,5558272,120.69642789363861,5565788,2946.015007019043,0.00135039279253899
blasted_case47,118,1703936,87.68402826786041,1710302,476.9194531440735,0.003722149655440969
blasted_case51,132,2172416,90.11658105850219,2179657,831.3674020767212,0.0033220823276322834
blasted_case54,203,8626176,122.89378206729889,8606251,5377.394722223282,0.0023151776540098587
blasted_case55,149,3449856,118.30765161514282,3439381,1575.9442484378815,0.003045606171575641
blasted_case56,202,8517632,121.18709106445313,8535170,5885.825433731079,0.0020547921131037813
blasted_case57,288,20250624,146.90462086200714,20172985,17320.571513414383,0.0038486619605378183
blasted_case59,93,840704,76.30568749904633,843760,178.9996325969696,0.0036218829999051863
blasted_case6,329,40665088,149.95244450569152,-1,-1,-1
blasted_case60,15,2174,0.10161933898925782,2174,0.08558464050292969,0.0
blasted_case61,282,23216128,137.1509686231613,23289994,15574.423394680023,0.003171576600663787
blasted_case63,96,937984,72.70659606456756,936593,208.68896436691284,0.0014851701859825985
blasted_case68,178,6225920,122.38898966312408,6207025,2862.724039554596,0.0030441314478353155
blasted_case8,160,4683776,102.88674471378326,4666531,1935.06223320961,0.0036954645752915816
blasted_case9,279,24322048,135.18374094963073,24279496,15496.351716518402,0.0017525899219654312
blasted_case_1_b12_1,427,71925760,167.3548133134842,-1,-1,-1
blasted_case_1_b14_1,238,14151680,119.73301401138306,14194649,8664.268894672394,0.00302712663060566
blasted_case_1_b14_2,270,19177472,132.33083698749542,19112952,13338.387343645096,0.003375721343306884
blasted_case_1_b14_3,304,26820608,156.19021649360656,26741310,21673.590761184692,0.0029653745459740006
blasted_squaring51,496,150339584,163.53866543769837,-1,-1,-1
brutus,1221,2075131904,283.62424967288973,-1,-1,-1
buildroot,565,228524032,173.87573680877685,-1,-1,-1
busybox_1_28_0,998,1297088512,197.91759567260743,-1,-1,-1
calm16_ceb,1173,1850736640,277.0448400020599,-1,-1,-1
calm32_ceb,1173,1846542336,269.72357749938965,-1,-1,-1
ceb_v850,1189,1936195584,281.91294741630554,-1,-1,-1
cerf,1276,2381840384,267.1434273481369,-1,-1,-1
cerfpda,1291,2483027968,274.5258764028549,-1,-1,-1
cma230,1212,2035810304,273.14174473285675,-1,-1,-1
cma28x,1204,2006974464,271.87581033706664,-1,-1,-1
cme555,1266,2340945920,264.042387008667,-1,-1,-1
cq7708,1238,2165833728,269.35518128871917,-1,-1,-1
cq7750,1267,2294808576,269.2210802316666,-1,-1,-1
csb281,1233,2213543936,264.75420718193055,-1,-1,-1
dreamcast,1252,2249195520,271.2346458911896,-1,-1,-1
e7t,1266,2357723136,247.7394244670868,-1,-1,-1
ea2468,1395,2915041280,275.5480206489563,-1,-1,-1
eb40,1240,2178416640,251.93713240623475,-1,-1,-1
eb40a,1241,2184183808,248.8545768737793,-1,-1,-1
eb42,1234,2148007936,255.18485074043275,-1,-1,-1
eb55,1270,2328887296,253.97101492881774,-1,-1,-1
ebsa285,1245,2271215616,257.03826434612273,-1,-1,-1
ec555,1267,2349334528,251.26359605789185,-1,-1,-1
ecos-icse11,1244,2256535552,250.82839863300325,-1,-1,-1
edb7xxx,1246,2220883968,257.9437029838562,-1,-1,-1
edosk2674,1194,1972895744,282.2874141931534,-1,-1,-1
embtoolkit,2128,11089739776,379.72105453014376,-1,-1,-1
excalibur_arm9,1233,2140667904,276.6693964958191,-1,-1,-1
fads,1187,1920466944,280.777845788002,-1,-1,-1
financial,771,333840384,304.05954813957214,-1,-1,-1
flexanet,1265,2350907392,266.7213222026825,-1,-1,-1
freebsd-icse11,1396,3425697792,291.60896625518797,-1,-1,-1
frv400,1238,2216165376,278.0503263711929,-1,-1,-1
gps4020,1213,2033188864,283.56708097457886,-1,-1,-1
grg,1241,2214592512,274.564950966835,-1,-1,-1
h8300h_sim,1182,1880621056,278.96126863956454,-1,-1,-1
h8max,1202,2016411648,268.9099853038788,-1,-1,-1
h8s_sim,1183,1883766784,264.31937754154205,-1,-1,-1
hs7729pci,1298,2541748224,275.4175518989563,-1,-1,-1
innovator,1256,2299527168,256.1423232316971,-1,-1,-1
integrator_arm7,1259,2307915776,252.20447592735292,-1,-1,-1
integrator_arm9,1267,2357198848,253.80435910224915,-1,-1,-1
ipaq,1258,2240282624,275.8175558805466,-1,-1,-1
iq80310,1258,2314731520,244.3805314540863,-1,-1,-1
iq80321,1256,2304245760,261.5989613056183,-1,-1,-1
ixdp425,1247,2248671232,266.39916496276857,-1,-1,-1
jmr3904,1199,1973420032,257.81775493621825,-1,-1,-1
jtst,1241,2185232384,244.42261106967925,-1,-1,-1
linux,1232,2123890688,255.61644656658171,-1,-1,-1
lpcmt,1249,2230845440,258.382085108757,-1,-1,-1
m5272c3,1323,2695888896,284.84838683605193,-1,-1,-1
mac7100evb,1234,2149056512,279.9151140451431,-1,-1,-1
mace1,1234,2148532224,266.82138192653656,-1,-1,-1
malta_mips32_4kc,1232,2171076608,248.5815254688263,-1,-1,-1
malta_mips64_5kc,1232,2169503744,249.79577503204345,-1,-1,-1
mb93091,1250,2275934208,250.00690360069274,-1,-1,-1
mb93093,1230,2171076608,263.48296747207644,-1,-1,-1
mbx,1295,2539651072,272.93252713680266,-1,-1,-1
mcb2100,1249,2230845440,273.54057147502897,-1,-1,-1
min-1s,168,5646336,114.21600198745728,5662833,1778.6309843063354,0.0029132061637699718
moab,1277,2437939200,253.73089771270753,-1,-1,-1
mpc50,1213,2037907456,286.0575551509857,-1,-1,-1
nano,1265,2376597504,267.26205041408537,-1,-1,-1
npwr,1258,2317877248,272.6401548147202,-1,-1,-1
ocelot,1266,2340421632,248.65010809898376,-1,-1,-1
olpce2294,1274,2410676224,268.7560127258301,-1,-1,-1
olpch2294,1261,2297954304,258.455699133873,-1,-1,-1
olpcl2294,1273,2401239040,266.1347907781601,-1,-1,-1
or-100-10-2-UC-30,200,5511168,135.02181751728057,5492412,1949.4413447380066,0.0034148931289204086
or-50-5-3-UC-20,100,536064,85.85022623538971,538579,99.9455292224884,0.004669695624968668
or-60-5-2-UC-30,120,1181696,86.38381204605102,1177309,239.97119522094727,0.0037262944562557495
or-70-5-1-UC-20,140,1550848,119.46743140220642,1543072,397.8469750881195,0.005039298231061156
p2106,1249,2231369728,273.5087504386902,-1,-1,-1
