Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
baital_4step,165,0.9988091210429387,1467.985589146614,-1,-1,-1
baital_5step,177,1.0052988600356083,1626.1298044681548,-1,-1,-1
baital_90-10-5-q,460,1.0048005590310558,572.8072721481324,-1,-1,-1
baital_XSEngine,1260,0.7181256551123885,1161.8228872060777,-1,-1,-1
baital_aaed2000,1284,0.7283068807594778,1195.6445309638978,-1,-1,-1
baital_adder,1272,0.6822673537964203,1123.111243224144,-1,-1,-1
baital_adderII,1276,0.6750449440008508,1162.8264690160752,-1,-1,-1
baital_aeb,1213,0.7079486694175227,1215.9284226179122,-1,-1,-1
baital_aim711,1264,0.7040071851459295,1152.207166314125,-1,-1,-1
baital_aki3068net,1207,0.6934285608779492,1196.019261097908,-1,-1,-1
baital_am31_sim,1165,0.7202445968181399,1098.5338978528976,-1,-1,-1
baital_asb,1231,0.7511127387236216,1229.1287208080291,-1,-1,-1
baital_asb2305,1242,0.7496225417837771,1212.3467235326766,-1,-1,-1
baital_assabet,1266,0.6882025392117318,1184.1693481206894,-1,-1,-1
baital_at91sam7sek,1296,0.7352109436668117,1276.8936963796616,-1,-1,-1
baital_at91sam7xek,1319,0.752859574422807,1187.8297129154205,-1,-1,-1
baital_atlas_mips32_4kc,1216,0.6859972338876431,1174.5934231758117,-1,-1,-1
baital_atlas_mips64_5kc,1209,0.6811646497464553,1238.2048216581345,-1,-1,-1
baital_blasted_case1,187,0.9129905241736065,822.3874685049057,-1,-1,-1
baital_blasted_case10,328,0.791145226739579,672.486811709404,-1,-1,-1
baital_blasted_case100,72,0.9877389913976449,499.38689889907835,-1,-1,-1
baital_blasted_case102,34,1.0074693691389311,408.4834918498993,0.9999044088322733,6766.658883333206,0.007565683519180124
baital_blasted_case103,32,0.9903904529023716,353.69358587265015,0.9998377923352925,1975.5665845870972,0.009448872112400338
baital_blasted_case105,170,0.8612495837689985,655.888266158104,-1,-1,-1
baital_blasted_case106,204,0.8577333032622797,646.7959487199784,-1,-1,-1
baital_blasted_case108,205,0.8945561599588948,800.2369196653366,-1,-1,-1
baital_blasted_case109,241,0.8346375959326466,632.965874671936,-1,-1,-1
baital_blasted_case11,105,0.9207841031792504,744.2727339744567,-1,-1,-1
baital_blasted_case110,287,0.9760255088308015,1173.8538332223893,-1,-1,-1
baital_blasted_case111,306,0.9694136165729436,1098.5065798044204,-1,-1,-1
baital_blasted_case112,137,0.7255906419596505,821.8310086250306,-1,-1,-1
baital_blasted_case114,428,0.8062804371860262,1093.5507065296174,-1,-1,-1
baital_blasted_case116,438,0.6813253660116484,1018.0516160726547,-1,-1,-1
baital_blasted_case118,309,0.9599081115866948,1092.0539030790328,-1,-1,-1
baital_blasted_case120,284,0.7468069641421717,668.5390635490418,-1,-1,-1
baital_blasted_case121,291,0.8569998198595707,796.8828569412232,-1,-1,-1
baital_blasted_case122,314,0.8659411613640887,865.4266622304916,-1,-1,-1
baital_blasted_case123,267,0.8284252462495311,875.3912047863007,-1,-1,-1
baital_blasted_case124,133,0.9068243989070429,554.1206549406052,-1,-1,-1
baital_blasted_case125,393,0.8609283715551113,1078.119776558876,-1,-1,-1
baital_blasted_case126,302,0.7934025879211839,840.3130038022995,-1,-1,-1
baital_blasted_case127,36,1.0084493967146821,552.3542816877365,1.0,7536.144936084747,0.008449396714682145
