Benchmark,twise, ApproxMaxCov Time, Strategy 3 Mean Time, Strategy 3 Max Coverage, Strategy 3 Mean Coverage
FM-361.cnf,4,27.14214277267456,9.647218227386475,0.9976432291666667,0.992208740234375
XSEngine.cnf,4,12269.405967235565,2068.098257613182,0.9366776784676812,0.9138459288840013167167788847
aaed2000.cnf,4,13840.647500038147,1403.311897468567,0.9203355103752123,0.8790245308136431182303079745
adder.cnf,4,12083.93763589859,2098.2306904554366,0.924879136612332,0.9040145297817372042557288860
adderII.cnf,4,12653.988736391068,-1,-1,-1
aeb.cnf,4,11291.353257417679,1148.341072845459,0.9358324703383003,0.9138414398127858587306180446
aim711.cnf,4,12358.25286078453,3999.4527893066406,0.9281371537022067,0.9094676670539756394495629961
aki3068net.cnf,4,11011.07325553894,933.1147942781448,0.9484900545864868,0.9053497484773040103683654639
am31_sim.cnf,4,10155.524452209473,874.3092950820923,0.9471383908146123,0.9179573392518457079521085220
asb.cnf,4,11745.391132354736,1605.6703253746032,0.9347110793508677,0.8981750829145729661976145224
asb2305.cnf,4,11788.793909788132,1061.1783559083938,0.9401700969734645,0.9026805563594242889766802202
assabet.cnf,4,12470.893409490585,1176.6304824352264,0.9519581529124654,0.9149862802720386489088951906
at91sam7sek.cnf,4,12510.216921567917,1398.2980293035507,0.9473690838511332,0.9237640093892235512032281102
at91sam7xek.cnf,4,13217.209212064743,1667.4624576807023,0.9370903761842698,0.9138468882523853164089978310
atlas_mips32_4kc.cnf,4,11325.300834178925,994.0931289672851,0.932098003740238,0.9032390238146310854657239517
atlas_mips64_5kc.cnf,4,10793.74202132225,1716.040308880806,0.922801955455287,0.9059364205936071725370661509
axtls.cnf,4,84.07926630973816,15.735169267654419,0.9922718351062007,0.9845451753356049802544975867
brutus.cnf,4,11552.258714199066,1145.854580450058,0.9350469879554664,0.9223729120097851909648176656
buildroot.cnf,4,2619.7520225048065,82.64888453483582,0.9922610739782031,0.9916192980609472206551571676
busybox_1_28_0.cnf,4,7139.90029001236,142.54097871780397,0.9851259841735825,0.9840194273761957445749461476
calm16_ceb.cnf,4,10494.971581220627,1926.2212207555772,0.9458275973211164,0.9220145795133114840617998761
calm32_ceb.cnf,4,10542.182933330536,1944.00907599926,0.9367003710439878,0.9220443800519669039675516126
ceb_v850.cnf,4,10553.112307786942,1048.8079487323762,0.9170085166434325,0.9042483238839489124060164688
cerf.cnf,4,12672.911221504211,2801.0961647987365,0.9305725992463459,0.8971064646274967824820405948
cerfpda.cnf,4,12617.9947514534,2606.4464873313905,0.9331586509278756,0.9017028637070154004237231086
cma230.cnf,4,11289.923456668854,1165.6303453445435,0.9270737299912778,0.9059075231797884376476562734
cma28x.cnf,4,11015.207719564438,1032.615037226677,0.9511235783823649,0.9132077348751750952108881823
cme555.cnf,4,12442.308424949646,1591.6337904691695,0.914375403296315,0.8911347612261843226482834081
cq7708.cnf,4,12063.770285606384,2283.1614858865737,0.9367440165296915,0.9091590278620070875455509609
cq7750.cnf,4,12453.64214348793,988.3954293727875,0.9407798609781687,0.9186756831482540566090085893
csb281.cnf,4,11487.3760638237,3018.5510170936586,0.9521150894843422,0.8961320300679613929201941897
dreamcast.cnf,4,11627.564390182495,1922.3642365694045,0.9357154848355891,0.9186512625738696877842285771
e7t.cnf,4,12130.389959573746,3161.4708387374876,0.9132202518843247,0.8617278243474894308602194359
ea2468.cnf,4,14679.378019094467,2532.6262745141985,0.928199678842343,0.9047942645685828250387440557
eb40.cnf,4,11726.940507650375,2881.180069208145,0.9251979395792854,0.9098159007498123495466028538
eb40a.cnf,4,12010.913138389587,1402.5491199254989,0.9396876247114097,0.9214995967281276681187480349
eb42.cnf,4,11568.312623739243,1280.4523673772812,0.9342025922075298,0.9170994651409372904265981505
eb55.cnf,4,12159.398522853851,1401.4037673473358,0.9302553272460317,0.9157397111415498574064938470
ebsa285.cnf,4,11639.233155965805,1502.1294292926789,0.9273353271063202,0.9034841668734342352417874927
ec555.cnf,4,11974.74227142334,2224.176461839676,0.9038510850962126,0.8713429838379708009496123843
ecos-icse11.cnf,4,10375.150669574738,1740.7939688920974,0.9290620672234636,0.9137454001702536458155781928
edb7xxx.cnf,4,11789.238400936127,2812.8953001499176,0.9381762885820246,0.9025310195637639897050078785
edosk2674.cnf,4,10840.176041603088,1243.635289978981,0.9238435033899971,0.9111916628319569612772801940
embtoolkit.cnf,4,-1,-1,-1,-1
excalibur_arm9.cnf,4,12607.822813749313,980.0255645751953,0.9402462728798295,0.9124151570336047608487318062
fads.cnf,4,10719.794303178787,964.1126955986023,0.9253223282980573,0.9169262800456335468672422310
financial.cnf,4,4620.627169132233,336.86086814403535,0.8413968427830366,0.8138786087198648234819031964
flexanet.cnf,4,12096.206505060196,2675.397177696228,0.9276027432994249,0.9034388985697881298656024281
