Benchmark,twise,seed,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Time, Strategy 3 Time, Strategy 1 Coverage, Strategy 3 Coverage
FM-361.cnf,2,1,0.262414455413818,1.4534273147583,0.382210731506348,1.3982937335968,1,1
FM-361.cnf,2,2,0.262414455413818,1.4534273147583,0.338268756866455,2.98988008499146,0.999682640431609,0.999365280863218
FM-361.cnf,2,3,0.262414455413818,1.4534273147583,0.372019529342651,1.3955454826355,0.997778483021263,0.999047921294827
FM-361.cnf,2,4,0.262414455413818,1.4534273147583,0.393866539001465,1.3652606010437,1,0.999682640431609
FM-361.cnf,2,5,0.262414455413818,1.4534273147583,0.447528123855591,1.34127426147461,0.998095842589654,0.998730561726436
FM-361.cnf,2,6,0.262414455413818,1.4534273147583,1.9499523639679,1.40155482292175,1,0.999682640431609
FM-361.cnf,2,7,0.262414455413818,1.4534273147583,0.397534132003784,1.39736342430115,0.999682640431609,1
FM-361.cnf,2,8,0.262414455413818,1.4534273147583,0.441546440124512,1.33932709693909,1,1
FM-361.cnf,2,9,0.262414455413818,1.4534273147583,1.21825504302979,1.38293790817261,1,0.996509044747699
FM-361.cnf,2,10,0.262414455413818,1.4534273147583,0.367837905883789,1.78281593322754,0.999682640431609,0.995556966042526
XSEngine.cnf,2,1,15150.2322232723,2163.1841313839,1828.68227577209,1823.99281930923,0.916482482162816,0.91571336129016
XSEngine.cnf,2,2,15150.2322232723,2163.1841313839,1935.84977459908,1627.80401682854,0.916452900590791,0.915818241409159
XSEngine.cnf,2,3,15150.2322232723,2163.1841313839,1656.15892791748,1802.38712143898,0.917226055314178,0.91761431344701
XSEngine.cnf,2,4,15150.2322232723,2163.1841313839,1665.07604336739,1652.76506328583,0.915772860588438,0.91568714126041
XSEngine.cnf,2,5,15150.2322232723,2163.1841313839,1885.70910096169,1848.12298035622,0.915923457682385,0.918438899767213
XSEngine.cnf,2,6,15150.2322232723,2163.1841313839,1800.98730945587,1782.24825048447,0.914937517332952,0.918497054448581
XSEngine.cnf,2,7,15150.2322232723,2163.1841313839,1709.15689969063,1894.63213443756,0.918330321951711,0.918939433412049
XSEngine.cnf,2,8,15150.2322232723,2163.1841313839,1981.56299972534,1776.81451940537,0.917698015849672,0.920019496945198
XSEngine.cnf,2,9,15150.2322232723,2163.1841313839,1744.13756370544,1787.31090164185,0.918758246283395,0.918558570672225
XSEngine.cnf,2,10,15150.2322232723,2163.1841313839,1791.3233435154,1876.48493909836,0.917527249502072,0.917947106132293
aaed2000.cnf,2,1,-1,3128.39348864555,-1,1115.04104566574,-1,2834288
aaed2000.cnf,2,2,-1,3128.39348864555,-1,1153.26779675484,-1,2850042
aaed2000.cnf,2,3,-1,3128.39348864555,-1,1217.71649289131,-1,2853250
aaed2000.cnf,2,4,-1,3128.39348864555,-1,1179.25990915298,-1,2850133
aaed2000.cnf,2,5,-1,3128.39348864555,-1,1103.10571527481,-1,2852267
aaed2000.cnf,2,6,-1,3128.39348864555,-1,1108.57131242752,-1,2854482
aaed2000.cnf,2,7,-1,3128.39348864555,-1,1064.03010296822,-1,2861749
aaed2000.cnf,2,8,-1,3128.39348864555,-1,1103.72171354294,-1,2858282
aaed2000.cnf,2,9,-1,3128.39348864555,-1,1068.54754328728,-1,2838340
aaed2000.cnf,2,10,-1,3128.39348864555,-1,1073.49902653694,-1,2853093
adder.cnf,2,1,14551.3909499645,2226.57709789276,1770.74355769157,1725.86231231689,0.918029583743415,0.921351241822497
adder.cnf,2,2,14551.3909499645,2226.57709789276,1888.18995380402,1846.11696457863,0.920792040125682,0.92295779540323
adder.cnf,2,3,14551.3909499645,2226.57709789276,1688.09230542183,1901.70977735519,0.921184797082151,0.921477884559717
adder.cnf,2,4,14551.3909499645,2226.57709789276,2030.49753069878,1843.62388134003,0.919215749225012,0.920454545454545
adder.cnf,2,5,14551.3909499645,2226.57709789276,1774.46738553047,1864.84340882301,0.921897943716678,0.921547291358558
adder.cnf,2,6,14551.3909499645,2226.57709789276,1891.64703536034,1744.93717098236,0.922267016836576,0.922314055567544
adder.cnf,2,7,14551.3909499645,2226.57709789276,1753.74186325073,1707.18883442879,0.919896001642079,0.91992823797519
adder.cnf,2,8,14551.3909499645,2226.57709789276,1740.36498713493,1721.20906972885,0.919709491429083,0.925756106482529
adder.cnf,2,9,14551.3909499645,2226.57709789276,1862.87043070793,1771.72186231613,0.920625595385336,0.920527570617306
adder.cnf,2,10,14551.3909499645,2226.57709789276,1652.61146807671,1778.43290758133,0.916481910811934,0.919510810355626
adderII.cnf,2,1,14828.7326695919,2227.95265293121,3685.00360393524,3757.49353909492,0.920826080220787,0.932708982790595
adderII.cnf,2,2,14828.7326695919,2227.95265293121,3862.8363237381,3956.31392168999,0.92169776108427,0.935941098298278
adderII.cnf,2,3,14828.7326695919,2227.95265293121,3541.20918345451,3762.8429377079,0.918837588892164,0.919604681125609
adderII.cnf,2,4,14828.7326695919,2227.95265293121,4034.40563964844,3787.77104282379,0.922633502483653,0.923166904496854
adderII.cnf,2,5,14828.7326695919,2227.95265293121,3731.60976338387,3283.00228238106,0.931204213875904,0.92127156241686
adderII.cnf,2,6,14828.7326695919,2227.95265293121,3745.54434204102,3787.12647604942,0.921122523619054,0.925464585963029
adderII.cnf,2,7,14828.7326695919,2227.95265293121,3686.72374248505,3647.864818573,0.920185801701265,0.921636315264122
adderII.cnf,2,8,14828.7326695919,2227.95265293121,3809.67712426186,3714.35611486435,0.936247020041142,0.921077746611819
adderII.cnf,2,9,14828.7326695919,2227.95265293121,3908.54029774666,3673.82274580002,0.92148629594791,0.92181967220616
adderII.cnf,2,10,14828.7326695919,2227.95265293121,3659.8352329731,3793.73927140236,0.920953547613647,0.922597876981546
aeb.cnf,2,1,13705.0151336193,1941.21795368195,938.27226805687,919.388682126999,0.918679657352659,0.923984946554096
aeb.cnf,2,2,13705.0151336193,1941.21795368195,940.608753204346,900.717449188232,0.916810097532989,0.917963788572986
aeb.cnf,2,3,13705.0151336193,1941.21795368195,945.489902019501,918.057372808456,0.922546597584778,0.920772903209693
aeb.cnf,2,4,13705.0151336193,1941.21795368195,906.116549730301,818.056910991669,0.917859107915107,0.918523554617225
aeb.cnf,2,5,13705.0151336193,1941.21795368195,931.539359331131,876.177561283112,0.914842101164857,0.915645020175819
aeb.cnf,2,6,13705.0151336193,1941.21795368195,912.204074859619,893.626441001892,0.927690641843026,0.915685790537309
aeb.cnf,2,7,13705.0151336193,1941.21795368195,864.266995668411,795.916993618012,0.922022459694274,0.921044338319071
aeb.cnf,2,8,13705.0151336193,1941.21795368195,870.157030344009,823.299730539322,0.919193878128207,0.917172255879196
aeb.cnf,2,9,13705.0151336193,1941.21795368195,909.330714225769,873.41028881073,0.921194931546196,0.924384202256254
aeb.cnf,2,10,13705.0151336193,1941.21795368195,831.833241224289,873.58157992363,0.919654105722322,0.919071934344291
aim711.cnf,2,1,15426.8557903767,2083.89092350006,3841.23217439651,3829.13941454887,0.924371058760991,0.920903739201867
aim711.cnf,2,2,15426.8557903767,2083.89092350006,3960.86345386505,3910.76843190193,0.925542007189048,0.924091209451141
aim711.cnf,2,3,15426.8557903767,2083.89092350006,3973.1116900444,3333.8124063015,0.923681143177736,0.924405537802755
aim711.cnf,2,4,15426.8557903767,2083.89092350006,3788.77926206589,3451.96180558205,0.927702470640929,0.926786934920306
aim711.cnf,2,5,15426.8557903767,2083.89092350006,3853.63654279709,3606.42019438744,0.92479786243331,0.924091209451141
aim711.cnf,2,6,15426.8557903767,2083.89092350006,3667.37233829498,3608.88849282265,0.922246078594808,0.924896947834884
aim711.cnf,2,7,15426.8557903767,2083.89092350006,3577.14880681038,3567.29645133018,0.924296075213854,0.923295513506746
aim711.cnf,2,8,15426.8557903767,2083.89092350006,3604.124335289,4075.82774448395,0.923453179804521,0.924444368568236
aim711.cnf,2,9,15426.8557903767,2083.89092350006,3597.59337997437,3694.00751042366,0.925598914345357,0.922654136380343
aim711.cnf,2,10,15426.8557903767,2083.89092350006,3289.57703948021,3676.53317928314,0.926595124328747,0.927786492383479
aki3068net.cnf,2,1,12848.6361703873,2040.88645887375,646.371511459351,635.830877542496,0.919791221391552,0.922196028069532
aki3068net.cnf,2,2,12848.6361703873,2040.88645887375,686.52775144577,682.435804367065,0.920907031142503,0.922010732468009
aki3068net.cnf,2,3,12848.6361703873,2040.88645887375,665.0858335495,596.626757621765,0.922612851442462,0.921329725267165
aki3068net.cnf,2,4,12848.6361703873,2040.88645887375,634.798544883728,611.892699241638,0.924762647342109,0.923195890473788
aki3068net.cnf,2,5,12848.6361703873,2040.88645887375,705.850230932236,628.80496263504,0.920473696280328,0.919768105306609
aki3068net.cnf,2,6,12848.6361703873,2040.88645887375,621.350839853287,641.221499443054,0.923408705224052,0.923846810072008
aki3068net.cnf,2,7,12848.6361703873,2040.88645887375,634.218012094498,643.999997138977,0.920976746319314,0.92127321928175
aki3068net.cnf,2,8,12848.6361703873,2040.88645887375,649.117156028748,654.707990169525,0.919321928175022,0.92125377241664
aki3068net.cnf,2,9,12848.6361703873,2040.88645887375,656.029601812363,654.348987340927,0.923127276062927,0.92475934504426
aki3068net.cnf,2,10,12848.6361703873,2040.88645887375,638.083140134811,651.574790477753,0.920469660138513,0.920309682153832
am31_sim.cnf,2,1,11597.3029384613,1851.35444927216,583.523404836655,612.625408887863,0.920779528077986,0.919940241527136
am31_sim.cnf,2,2,11597.3029384613,1851.35444927216,617.0916929245,581.762096643448,0.923020272303623,0.922118654632393
am31_sim.cnf,2,3,11597.3029384613,1851.35444927216,633.236115694046,538.072023630142,0.918881009494181,0.91995612206736
am31_sim.cnf,2,4,11597.3029384613,1851.35444927216,632.949744224548,545.09121465683,0.922359641830296,0.920863694941174
am31_sim.cnf,2,5,11597.3029384613,1851.35444927216,642.190761566162,566.339271783829,0.918674562471266,0.918964382330358
am31_sim.cnf,2,6,11597.3029384613,1851.35444927216,588.392704725266,596.083535671234,0.920664791174866,0.921992801351116
am31_sim.cnf,2,7,11597.3029384613,1851.35444927216,584.826078653336,570.659295082092,0.919898952122553,0.921849876489098
am31_sim.cnf,2,8,11597.3029384613,1851.35444927216,585.872927904129,566.185100078583,0.918315265248693,0.919923566959901
am31_sim.cnf,2,9,11597.3029384613,1851.35444927216,598.203795194626,562.645400762558,0.922278254061647,0.921644223493195
