Benchmark,twise, ApproxMaxCov Time, Strategy 3 Mean Time, Strategy 3 Max Coverage, Strategy 3 Mean Coverage
FM-361.cnf,6,84.13789463043213,62.35977175235748,0.9981637396847668,0.9903082537992992177314211213
XSEngine.cnf,6,-1,-1,-1,-1
aaed2000.cnf,6,-1,-1,-1,-1
adder.cnf,6,-1,-1,-1,-1
adderII.cnf,6,-1,-1,-1,-1
aeb.cnf,6,-1,-1,-1,-1
aim711.cnf,6,-1,-1,-1,-1
aki3068net.cnf,6,-1,-1,-1,-1
am31_sim.cnf,6,-1,-1,-1,-1
asb.cnf,6,-1,-1,-1,-1
asb2305.cnf,6,-1,-1,-1,-1
assabet.cnf,6,-1,-1,-1,-1
at91sam7sek.cnf,6,-1,-1,-1,-1
at91sam7xek.cnf,6,-1,-1,-1,-1
atlas_mips32_4kc.cnf,6,-1,-1,-1,-1
atlas_mips64_5kc.cnf,6,-1,-1,-1,-1
axtls.cnf,6,212.1839997768402,105.96653914451599,0.9511974327432332,0.9443997165338414909096089664
brutus.cnf,6,-1,-1,-1,-1
buildroot.cnf,6,4623.450550794601,419.0678447008133,1.0006476603624819,0.9998469714205509985982271747
busybox_1_28_0.cnf,6,11888.467728853226,731.7522604227066,0.9534735874097905,0.9526104547904239408825978721
calm16_ceb.cnf,6,-1,-1,-1,-1
calm32_ceb.cnf,6,-1,-1,-1,-1
ceb_v850.cnf,6,-1,-1,-1,-1
cerf.cnf,6,-1,-1,-1,-1
cerfpda.cnf,6,-1,-1,-1,-1
cma230.cnf,6,-1,-1,-1,-1
cma28x.cnf,6,-1,-1,-1,-1
cme555.cnf,6,-1,-1,-1,-1
cq7708.cnf,6,-1,-1,-1,-1
cq7750.cnf,6,-1,-1,-1,-1
csb281.cnf,6,-1,-1,-1,-1
dreamcast.cnf,6,-1,-1,-1,-1
e7t.cnf,6,-1,-1,-1,-1
ea2468.cnf,6,-1,-1,-1,-1
eb40.cnf,6,-1,-1,-1,-1
eb40a.cnf,6,-1,-1,-1,-1
eb42.cnf,6,-1,-1,-1,-1
eb55.cnf,6,-1,-1,-1,-1
ebsa285.cnf,6,-1,-1,-1,-1
ec555.cnf,6,-1,-1,-1,-1
ecos-icse11.cnf,6,-1,-1,-1,-1
edb7xxx.cnf,6,-1,-1,-1,-1
edosk2674.cnf,6,-1,-1,-1,-1
embtoolkit.cnf,6,-1,-1,-1,-1
excalibur_arm9.cnf,6,-1,-1,-1,-1
fads.cnf,6,-1,-1,-1,-1
financial.cnf,6,13023.781981945038,1779.6670333862305,0.81542809862877,0.7802098758809072341384625608
flexanet.cnf,6,-1,-1,-1,-1
freebsd-icse11.cnf,6,-1,-1,-1,-1
frv400.cnf,6,-1,-1,-1,-1
gps4020.cnf,6,-1,-1,-1,-1
grg.cnf,6,-1,-1,-1,-1
h8300h_sim.cnf,6,-1,-1,-1,-1
h8max.cnf,6,-1,-1,-1,-1
h8s_sim.cnf,6,-1,-1,-1,-1
hs7729pci.cnf,6,-1,-1,-1,-1
innovator.cnf,6,-1,-1,-1,-1
integrator_arm7.cnf,6,-1,-1,-1,-1
integrator_arm9.cnf,6,-1,-1,-1,-1
ipaq.cnf,6,-1,-1,-1,-1
iq80310.cnf,6,-1,-1,-1,-1
iq80321.cnf,6,-1,-1,-1,-1
ixdp425.cnf,6,-1,-1,-1,-1
jmr3904.cnf,6,-1,-1,-1,-1
jtst.cnf,6,-1,-1,-1,-1
linux.cnf,6,-1,-1,-1,-1
lpcmt.cnf,6,-1,-1,-1,-1
m5272c3.cnf,6,-1,-1,-1,-1
mac7100evb.cnf,6,-1,-1,-1,-1
mace1.cnf,6,-1,-1,-1,-1
malta_mips32_4kc.cnf,6,-1,-1,-1,-1
malta_mips64_5kc.cnf,6,-1,-1,-1,-1
mb93091.cnf,6,-1,-1,-1,-1
mb93093.cnf,6,-1,-1,-1,-1
mbx.cnf,6,-1,-1,-1,-1
mcb2100.cnf,6,-1,-1,-1,-1
moab.cnf,6,-1,-1,-1,-1
mpc50.cnf,6,-1,-1,-1,-1
nano.cnf,6,-1,-1,-1,-1
npwr.cnf,6,-1,-1,-1,-1
ocelot.cnf,6,-1,-1,-1,-1
olpce2294.cnf,6,-1,-1,-1,-1
olpch2294.cnf,6,-1,-1,-1,-1
olpcl2294.cnf,6,-1,-1,-1,-1
p2106.cnf,6,-1,-1,-1,-1
pati.cnf,6,-1,-1,-1,-1
pc_i82544.cnf,6,-1,-1,-1,-1
pc_i82559.cnf,6,-1,-1,-1,-1
pc_rltk8139.cnf,6,-1,-1,-1,-1
pc_usb_d12.cnf,6,-1,-1,-1,-1
pc_vmWare.cnf,6,-1,-1,-1,-1
phycore.cnf,6,-1,-1,-1,-1
phycore229x.cnf,6,-1,-1,-1,-1
picasso.cnf,6,-1,-1,-1,-1
pid.cnf,6,-1,-1,-1,-1
prpmc1100.cnf,6,-1,-1,-1,-1
psim.cnf,6,-1,-1,-1,-1
rattler.cnf,6,-1,-1,-1,-1
ref4955.cnf,6,-1,-1,-1,-1
refidt334.cnf,6,-1,-1,-1,-1
sa1100mm.cnf,6,-1,-1,-1,-1
sam7ex256.cnf,6,-1,-1,-1,-1
se7751.cnf,6,-1,-1,-1,-1
sh4_202_md.cnf,6,-1,-1,-1,-1
sh7708.cnf,6,-1,-1,-1,-1
skmb91302.cnf,6,-1,-1,-1,-1
sleb.cnf,6,-1,-1,-1,-1
smdk2410.cnf,6,-1,-1,-1,-1
snds.cnf,6,-1,-1,-1,-1
sparc_erc32.cnf,6,-1,-1,-1,-1
sparc_leon.cnf,6,-1,-1,-1,-1
sparclite_sim.cnf,6,-1,-1,-1,-1
stb.cnf,6,-1,-1,-1,-1
stdeval1.cnf,6,-1,-1,-1,-1
stm3210e_eval.cnf,6,-1,-1,-1,-1
toybox.cnf,6,2411.4643411636353,1235.7911344766617,1.0082359283763416,0.9989083932252572728803314536
ts1000.cnf,6,-1,-1,-1,-1
ts6.cnf,6,-1,-1,-1,-1
tx39_sim.cnf,6,-1,-1,-1,-1
uClinux-config.cnf,6,-1,-1,-1,-1
uClinux.cnf,6,-1,-1,-1,-1
uE250.cnf,6,-1,-1,-1,-1
vads.cnf,6,-1,-1,-1,-1
viper.cnf,6,-1,-1,-1,-1
vrc4373.cnf,6,-1,-1,-1,-1
vrc4375.cnf,6,-1,-1,-1,-1
