Benchmark,twise, ApproxMaxCov Time, Strategy 3 Mean Time, Strategy 3 Max Coverage, Strategy 3 Mean Coverage
FM-361.cnf,3,16.5616023540497,3.92078132629395,1.00343925334484,0.996675388433319
XSEngine.cnf,3,7992.08459234238,1900.26851451397,0.942126467508365,0.918954341204223
aaed2000.cnf,3,9353.04762387276,1239.14937987328,0.92789940642003,0.872803754773831
adder.cnf,3,8577.71365046501,1958.04179439545,0.923250194624358,0.907911411526416
adderII.cnf,3,7982.68637704849,3896.46401495934,0.928061272266251,0.898918755561332
aeb.cnf,3,7509.49856424332,958.915125274658,0.946890517699817,0.907766112315753
aim711.cnf,3,7894.99745416641,3629.34048640728,0.951889513317583,0.905816515185081
aki3068net.cnf,3,7308.1115193367,708.002480316162,0.937820165534804,0.911903678958966
am31_sim.cnf,3,6709.03776931763,649.580307531357,0.945336579861367,0.917779052333644
asb.cnf,3,7531.56452846527,1365.3672031641,0.938466598005856,0.901410055768256
asb2305.cnf,3,7824.96851730347,872.301493930817,0.957388343691047,0.906420614481145
assabet.cnf,3,8076.59629535675,991.791517949104,0.924551354891453,0.890730376762702
at91sam7sek.cnf,3,8607.81573534012,1192.43833396435,0.947466267912389,0.90564893903679
at91sam7xek.cnf,3,8647.65060043335,1462.1182861805,0.921901986127842,0.893095010312018
atlas_mips32_4kc.cnf,3,7300.60483694077,773.234833312035,0.947078752409574,0.899588516275719
atlas_mips64_5kc.cnf,3,8451.4770784378,1524.94883708954,0.934187567616611,0.896942265991681
axtls.cnf,3,43.4398760795593,5.93739459514618,0.994205638111888,0.983313483391608
brutus.cnf,3,7582.80479669571,877.537047123909,0.942138371045076,0.900169819023036
buildroot.cnf,3,1512.51847577095,38.7668719291687,0.992430524128239,0.989969929896263
busybox_1_28_0.cnf,3,5048.91936683655,68.8551290035248,0.993049866668986,0.990851679455185
calm16_ceb.cnf,3,6987.6537630558,1791.1945535183,0.947230496368582,0.921018821360444
calm32_ceb.cnf,3,7042.79033708572,1779.61993825436,0.946788909460383,0.925790473466716
ceb_v850.cnf,3,7174.52714037895,837.827222585678,0.951316667437262,0.899027070360259
cerf.cnf,3,8081.85868120193,2628.59170627594,0.947173367348532,0.900633769504514
cerfpda.cnf,3,8453.02472162247,2492.59761142731,0.924350955048386,0.883117941934235
cma230.cnf,3,7174.78075408936,917.062386798859,0.926112281170596,0.910756147064863
cma28x.cnf,3,7264.71791791916,796.709436678886,0.937297697378919,0.895407589631922
cme555.cnf,3,8032.99238610268,1385.99016337395,0.867469266983529,0.859155136091273
cq7708.cnf,3,8696.72602057457,2181.35310239792,0.940215477363265,0.908309426726038
cq7750.cnf,3,8068.94382405281,803.529885601997,0.934646122700649,0.893244408760764
csb281.cnf,3,7597.58535957336,2735.68760972023,0.941300040701713,0.903888129008933
dreamcast.cnf,3,9168.9607925415,1752.85816910267,0.939884990878374,0.902505030071755
e7t.cnf,3,7683.91408658028,3017.03212954998,0.923655020797879,0.894830848442478
ea2468.cnf,3,11349.7874138355,2285.03592395782,0.92726843221289,0.884905665782001
eb40.cnf,3,7739.27554059029,2611.01882379055,0.947512626877806,0.920359947469384
eb40a.cnf,3,7828.83323764801,1210.33747603893,0.954137906787198,0.918209861039255
eb42.cnf,3,7373.67053198814,1061.6250453949,0.949045415018119,0.927217205458996
eb55.cnf,3,8025.68340182304,1151.10108864307,0.921586708711377,0.911994440212668
ebsa285.cnf,3,7987.4933784008,1304.28219146729,0.928282563694101,0.890243917132153
ec555.cnf,3,8109.41068243981,2021.11642942429,0.865842992144538,0.857952168606498
ecos-icse11.cnf,3,6847.08219671249,1537.13259849548,0.950421753481897,0.907456997335444
edb7xxx.cnf,3,7848.65311431885,2800.86431365013,0.942470954674663,0.909866518640157
edosk2674.cnf,3,7225.94846963882,1048.96958818436,0.947066286191925,0.906759983527107
embtoolkit.cnf,3,-1,-1,-1,-1
excalibur_arm9.cnf,3,8729.48322892189,787.768307209015,0.945889667908838,0.896206074814124
fads.cnf,3,7198.38198280335,791.578439998627,0.952414354775738,0.90109319016317
financial.cnf,3,2689.33100986481,138.470543861389,0.864119509433178,0.830766893992563
flexanet.cnf,3,7925.02697300911,2488.09120316505,0.930155294912833,0.887457520511734
freebsd-icse11.cnf,3,-1,-1,-1,-1
frv400.cnf,3,7681.80347967148,3026.23377709389,0.924728452284039,0.890817771552017
gps4020.cnf,3,7483.97962665558,986.872276854515,0.947955178610574,0.89982217378042
grg.cnf,3,7727.65397334099,3606.11179482937,0.957055802243339,0.918523801545349
h8300h_sim.cnf,3,7158.22837686539,475.432471179962,0.950144469771324,0.922284805741371
h8max.cnf,3,7330.34767794609,967.344946455956,0.943008695258795,0.914039265206837
h8s_sim.cnf,3,7168.9005959034,671.782152891159,0.93760692106172,0.919482939682666
hs7729pci.cnf,3,9438.56126642227,3707.0959883213,0.949475491904739,0.92345611810487
innovator.cnf,3,8626.81718540192,1566.90241670609,0.887897240695088,0.876768451888136
integrator_arm7.cnf,3,8548.71820950508,1312.93850049973,0.88152043191552,0.876270917364039
integrator_arm9.cnf,3,8991.69597148895,651.529821109772,0.930071080111414,0.88507634690499
ipaq.cnf,3,7821.80408120155,2014.45124642849,0.951577563535264,0.907270757731993
iq80310.cnf,3,7889.61933135986,3465.43828532696,0.891268250512579,0.880177977081867
iq80321.cnf,3,7611.73776197434,2353.79136698246,0.947757989692209,0.896441357994384
ixdp425.cnf,3,7760.86528325081,3313.12984986305,0.951791747708187,0.911659079355614
jmr3904.cnf,3,7299.0430059433,1790.07959470749,0.936651728953893,0.901889566536998
jtst.cnf,3,7760.14873456955,1531.7624796629,0.982800662230711,0.924416399185651
linux.cnf,3,7628.5151822567,1188.80847096443,0.945568205668308,0.918647252400086
