Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,33922148940,47.29852039813996,-1,-1,-1
benchmark10,505960992337,61.03584372997284,-1,-1,-1
benchmark11,32636220385,51.652906966209414,-1,-1,-1
benchmark12,450644263000,42.854813528060916,-1,-1,-1
benchmark13,206919837410,35.94013640880585,-1,-1,-1
benchmark14,21523711743,38.86046860218048,-1,-1,-1
benchmark15,1050272856,31.571053171157835,-1,-1,-1
benchmark16,7591833984,21.13516914844513,-1,-1,-1
benchmark17,266780377749,38.09781260490418,-1,-1,-1
benchmark18,778875087627,94.34788165092468,-1,-1,-1
benchmark19,6009384284355,104.83994009494782,-1,-1,-1
benchmark2,21477342867,29.977609848976137,-1,-1,-1
benchmark20,896203679642,79.66259438991547,-1,-1,-1
benchmark21,11328600082,37.85944802761078,-1,-1,-1
benchmark22,7341549910,29.05538468360901,-1,-1,-1
benchmark23,3576129,12.569704508781433,3611479,1.95499587059021,0.00978823357411188
benchmark24,128604678146,47.67524015903473,-1,-1,-1
benchmark25,315722707017,62.812991452217105,-1,-1,-1
benchmark26,21615291249,31.897478127479552,-1,-1,-1
benchmark27,1822976717,34.40380539894104,-1,-1,-1
benchmark28,5422936594349,103.8101987361908,-1,-1,-1
benchmark29,289052432782,31.403462171554565,-1,-1,-1
benchmark3,7853087,13.760636711120606,7789789,5.020962476730347,0.008125765665796597
benchmark30,4678252117,19.735728240013124,-1,-1,-1
benchmark4,735953939,21.9670202255249,-1,-1,-1
benchmark5,1539474261958,63.268267440795896,-1,-1,-1
benchmark6,4374493860,21.56196858882904,-1,-1,-1
benchmark7,5120644,7.95961709022522,5074877,4.742055177688599,0.009018346651554314
benchmark8,124921059381,46.060884618759154,-1,-1,-1
benchmark9,878917033,19.983128309249878,872775206,375.41981530189514,0.007037123600415386
benchmark_apache,913111028582,37.80170826911926,-1,-1,-1
benchmark_bugzilla,321185290,14.527575278282166,318684540,128.4135127067566,0.007847101713813918
benchmark_gcc,1496605991259,29.16976194381714,-1,-1,-1
benchmark_spins,417011,38.231722831726074,415460,0.3411245346069336,0.0037332113801569343
benchmark_spinv,877852251,49.03775882720947,884409932,389.58703351020813,0.007414752777787665
