Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,90243072,706.1219455957413,-1,-1,-1
benchmark10,447392426,762.174334359169,-1,-1,-1
benchmark11,88233301,924.352655506134,-1,-1,-1
benchmark12,396361728,985.7281881809234,-1,-1,-1
benchmark13,243968682,613.2377242088318,-1,-1,-1
benchmark14,66955946,698.2972185134888,-1,-1,-1
benchmark15,10726058,479.438223195076,-1,-1,-1
benchmark16,33838421,556.61819024086,-1,-1,-1
benchmark17,302514176,777.2128093957901,-1,-1,-1
benchmark18,405274624,882.8562357187271,-1,-1,-1
benchmark19,1582650709,1152.8595123767852,-1,-1,-1
benchmark2,65514154,354.66551730632784,-1,-1,-1
benchmark20,676156757,1367.7270825386047,-1,-1,-1
benchmark21,37705045,977.0919176340103,-1,-1,-1
benchmark22,28224170,442.2691351890564,-1,-1,-1
benchmark23,307968,225.99889905452727,-1,-1,-1
benchmark24,187432960,746.336501455307,-1,-1,-1
benchmark25,354418688,1013.16698949337,-1,-1,-1
benchmark26,69162325,608.9159696340561,-1,-1,-1
benchmark27,14390613,279.7736388683319,-1,-1,-1
benchmark28,1516939946,1183.2597304821015,-1,-1,-1
benchmark29,339476480,644.477116060257,-1,-1,-1
benchmark3,468992,163.20999252796173,470217,14657.90332531929,0.002605180161499903
benchmark30,24379392,441.36801221370695,-1,-1,-1
benchmark4,8727210,459.20456240177157,-1,-1,-1
benchmark5,946165077,994.8463847398758,-1,-1,-1
benchmark6,20419925,477.6930553197861,-1,-1,-1
benchmark7,351488,152.0131992816925,352561,12601.050078392029,0.0030434449641338662
benchmark8,181316266,782.0779858589173,-1,-1,-1
benchmark9,7258112,380.6493926525116,-1,-1,-1
benchmark_apache,729808896,590.5637176036835,-1,-1,-1
benchmark_bugzilla,5186901,274.7038925409317,-1,-1,-1
benchmark_gcc,1118830592,352.7891956329346,-1,-1,-1
benchmark_spins,117034,132.18126311302186,116332,4610.86579823494,0.006034453116941168
benchmark_spinv,11438762,161.70969417095185,-1,-1,-1
