Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,3777110562,2140.0451992988587,-1,-1,-1
benchmark10,28096244394,1897.8598890542985,-1,-1,-1
benchmark11,3649603720,2055.211774587631,-1,-1,-1
benchmark12,24382887253,2250.773269486427,-1,-1,-1
benchmark13,13189128738,2255.6651540756225,-1,-1,-1
benchmark14,2602705442,2235.198209643364,-1,-1,-1
benchmark15,258369126,857.2253568649292,-1,-1,-1
benchmark16,1106457395,969.588801074028,-1,-1,-1
benchmark17,17282769442,2307.193716788292,-1,-1,-1
benchmark18,24955549559,2460.184719634056,-1,-1,-1
benchmark19,137832658807,3000.0889724493027,-1,-1,-1
benchmark2,2521056324,766.9380387544632,-1,-1,-1
benchmark20,47369910135,2180.503285813332,-1,-1,-1
benchmark21,1259130060,1990.5771010398864,-1,-1,-1
benchmark22,879405738,920.8829702377319,-1,-1,-1
benchmark23,2849723,502.2091208219528,-1,-1,-1
benchmark24,9408662732,1972.0705540180206,-1,-1,-1
benchmark25,20973756962,3844.254382944107,-1,-1,-1
benchmark26,2700013294,1477.4719041347503,-1,-1,-1
benchmark27,370217233,577.8658218383789,-1,-1,-1
benchmark28,130280674645,2829.2837994098663,-1,-1,-1
benchmark29,20007389320,1415.9508721590041,-1,-1,-1
benchmark3,4876970,401.40952882766726,-1,-1,-1
benchmark30,732325478,543.1800873994828,-1,-1,-1
benchmark4,198600294,926.8024477481842,-1,-1,-1
benchmark5,71958597905,2120.6163561582566,-1,-1,-1
benchmark6,585524838,709.3356011629105,-1,-1,-1
benchmark7,3455931,320.38543071746824,-1,-1,-1
benchmark8,9068644488,1802.6876126766206,-1,-1,-1
benchmark9,158509738,962.1452707290649,-1,-1,-1
benchmark_apache,52183852646,1507.4851083517074,-1,-1,-1
benchmark_bugzilla,104053691,380.53235886096957,-1,-1,-1
benchmark_gcc,89371111150,602.1425145626068,-1,-1,-1
benchmark_spins,777147,282.00958957672117,-1,-1,-1
benchmark_spinv,275076437,264.57792682647704,-1,-1,-1
