Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,23904,53.42357451915741,23876,658.6642310619354,0.0011727257497068187
benchmark10,52592,65.54638350009918,52659,1516.8508915901184,0.0012723371123644581
benchmark11,23680,52.81146328449249,23636,653.3944857120514,0.0018615671010323235
benchmark12,49408,65.82765061855316,49522,1538.8972761631012,0.0023020071887242034
benchmark13,38816,57.07968878746033,38862,1200.64111495018,0.001183675569965519
benchmark14,20512,50.91892638206482,20544,600.7345175743103,0.001557632398753894
benchmark15,8376,23.60599727630615,8388,1674.2939720153809,0.001430615164520744
benchmark16,14624,35.05045735836029,14600,694.8732154369354,0.0016438356164383563
benchmark17,43440,59.4773131608963,43390,2120.458215713501,0.00115233924867481
benchmark18,50176,70.5506777524948,50128,2417.1348836421967,0.000957548675390999
benchmark19,98560,83.6588766336441,98778,4023.472569704056,0.002206969163173986
benchmark2,20352,43.052412033081055,20331,791.2155876159668,0.001032905415375535
benchmark20,64720,82.17248425483703,64620,2626.9386236667633,0.0015475085112968121
benchmark21,15464,37.808287835121156,15442,610.5920207500458,0.0014246859215127573
benchmark22,13392,35.42273497581482,13405,337.3888418674469,0.0009697873927638941
benchmark23,1495,0.5116678714752197,1495,37.95818305015564,0.0
benchmark24,34232,51.03582623004913,34204,887.8067922592163,0.0008186177055315168
benchmark25,47040,64.13087232112885,46968,1227.5126192569733,0.0015329586101175269
benchmark26,20960,46.502089095115664,20921,570.0502564907074,0.0018641556330959324
benchmark27,9700,29.50838158130646,9714,254.83963441848755,0.001441218859378217
benchmark28,96672,90.19715678691864,96599,2836.4685361385345,0.000755701404776447
benchmark29,45888,60.320717740058896,45839,1272.166894197464,0.0010689587469185629
benchmark3,1838,0.3391533136367798,1838,47.895108699798584,0.0
benchmark30,12444,33.1549968957901,12453,330.3656425476074,0.0007227174174897615
benchmark4,7524,23.237860774993898,7530,189.93812942504883,0.0007968127490039841
benchmark5,76416,82.61417331695557,76259,2058.7456426620483,0.0020587733906817555
benchmark6,11396,34.5916202545166,11382,300.53892159461975,0.0012300123001230013
benchmark7,1567,0.27989649772644043,1567,38.7054398059845,0.0
benchmark8,33712,48.301365804672244,33680,887.1584618091583,0.0009501187648456057
benchmark9,6844,23.14817268848419,6835,174.9378206729889,0.0013167520117044623
benchmark_apache,67008,70.4042251586914,66927,1719.1197855472565,0.0012102738804966606
benchmark_bugzilla,5814,22.847618103027344,5818,142.5818271636963,0.0006875214850464077
benchmark_gcc,82688,68.52358043193817,82770,2368.324781179428,0.0009906971124803673
benchmark_spins,979,0.1806560754776001,979,24.297411918640137,0.0
benchmark_spinv,8746,21.924744367599487,8741,229.48883414268494,0.0005720169317011784
