Benchmark, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
benchmark1,23880.8,53.42357451915741,23904,23856,0.002008032128514056
benchmark10,52657.6,65.54638350009918,52720,52592,0.0024279210925644916
benchmark11,23644.8,52.81146328449249,23680,23624,0.002364864864864865
benchmark12,49516.8,65.82765061855316,49568,49408,0.0032278889606197547
benchmark13,38864.0,57.07968878746033,38896,38816,0.0020567667626491155
benchmark14,20537.6,50.91892638206482,20560,20512,0.0023346303501945525
benchmark15,8386.4,23.60599727630615,8392,8376,0.0019065776930409914
benchmark16,14606.8,35.05045735836029,14624,14592,0.002188183807439825
benchmark17,43401.6,59.4773131608963,43440,43344,0.0022099447513812156
benchmark18,50123.2,70.5506777524948,50176,50096,0.0015943877551020409
benchmark19,98793.6,83.6588766336441,98976,98560,0.004203039120594891
benchmark2,20331.2,43.052412033081055,20352,20312,0.0019654088050314465
benchmark20,64614.4,82.17248425483703,64720,64528,0.0029666254635352285
benchmark21,15443.2,37.808287835121156,15464,15432,0.0020693222969477496
benchmark22,13402.8,35.42273497581482,13416,13392,0.0017889087656529517
benchmark23,1495.0,0.5116678714752197,1495,1495,0.0
benchmark24,34205.6,51.03582623004913,34232,34184,0.0014021967749474175
benchmark25,46987.2,64.13087232112885,47040,46960,0.0017006802721088435
benchmark26,20926.4,46.502089095115664,20960,20888,0.003435114503816794
benchmark27,9715.6,29.50838158130646,9728,9700,0.0028782894736842104
benchmark28,96620.8,90.19715678691864,96672,96544,0.0013240648791790798
benchmark29,45836.8,60.320717740058896,45888,45808,0.0017433751743375174
benchmark3,1838.0,0.3391533136367798,1838,1838,0.0
benchmark30,12448.8,33.1549968957901,12460,12444,0.0012841091492776886
benchmark4,7529.8,23.237860774993898,7536,7524,0.0015923566878980893
benchmark5,76281.6,82.61417331695557,76416,76160,0.0033500837520938024
benchmark6,11384.4,34.5916202545166,11396,11372,0.002106002106002106
benchmark7,1567.0,0.27989649772644043,1567,1567,0.0
benchmark8,33688.8,48.301365804672244,33712,33672,0.0011865211200759373
benchmark9,6835.6,23.14817268848419,6844,6832,0.0017533606078316774
benchmark_apache,66955.2,70.4042251586914,67008,66896,0.0016714422158548234
benchmark_bugzilla,5817.6,22.847618103027344,5822,5814,0.0013740982480247338
benchmark_gcc,82768.0,68.52358043193817,82816,82688,0.0015455950540958269
benchmark_spins,979.0,0.1806560754776001,979,979,0.0
benchmark_spinv,8741.8,21.924744367599487,8746,8738,0.000914703864623828
