Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,129230793750,1240.0076037168503,-1,-1,-1
benchmark10,1461434205252,3725.5642919778825,-1,-1,-1
benchmark11,-1,-1.0,-1,-1,-1
benchmark12,-1,-1.0,-1,-1,-1
benchmark13,-1,-1.0,-1,-1,-1
benchmark14,82701981377,1161.1550722837449,-1,-1,-1
benchmark15,5015269102,2038.0509513854981,-1,-1,-1
benchmark16,29754578989,2547.1768038272858,-1,-1,-1
benchmark17,-1,-1.0,-1,-1,-1
benchmark18,-1,-1.0,-1,-1,-1
benchmark19,-1,-1.0,-1,-1,-1
benchmark2,79910252635,1951.051959490776,-1,-1,-1
benchmark20,-1,-1.0,-1,-1,-1
benchmark21,-1,-1.0,-1,-1,-1
benchmark22,22339795171,1676.2755695819856,-1,-1,-1
benchmark23,20785106,944.0977956771851,-1,-1,-1
benchmark24,389887586759,770.6442451953887,-1,-1,-1
benchmark25,-1,-1.0,-1,-1,-1
benchmark26,86137955214,2907.584995102882,-1,-1,-1
benchmark27,7775680375,1383.7363792657852,-1,-1,-1
benchmark28,-1,-1.0,-1,-1,-1
benchmark29,976198344521,2527.5720685958863,-1,-1,-1
benchmark3,40148809,705.1768047094345,-1,-1,-1
benchmark30,17997106016,1289.5310886621476,-1,-1,-1
benchmark4,3699935368,2165.705998301506,-1,-1,-1
benchmark5,4514106071813,394.0680807352066,-1,-1,-1
benchmark6,13779686741,1762.9110303878783,-1,-1,-1
benchmark7,27134816,491.1012553691864,-1,-1,-1
benchmark8,371753280398,1718.99185795784,-1,-1,-1
benchmark9,2850635411,1946.513670229912,-1,-1,-1
benchmark_apache,3098484851052,2763.040016889572,-1,-1,-1
benchmark_bugzilla,1690770545,709.694468331337,-1,-1,-1
benchmark_gcc,5908347899812,1107.933689069748,-1,-1,-1
benchmark_spins,3956918,693.8776046514511,-1,-1,-1
benchmark_spinv,5362743887,402.9492109060287,-1,-1,-1
