Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,65403055,6.9872363090515135,65232597,24.683884859085083,0.002613080083259601
benchmark10,359467313,9.09129569530487,358405954,184.1391086578369,0.002961331942604949
benchmark11,63390605,7.585812735557556,63586222,25.30971670150757,0.00307640545148287
benchmark12,327501800,6.82655177116394,328560858,1637.8027029037476,0.0032233236985277167
benchmark13,197606137,6.049902987480164,198235387,147.12789797782898,0.0031742566729521405
benchmark14,48875829,5.9500868082046505,48719107,17.81523895263672,0.00321684878173157
benchmark15,7022588,4.873992228507996,7062626,2.5095338821411133,0.0056689962062269755
benchmark16,21796404,3.993534302711487,21695315,7.472014904022217,0.004659485239094247
benchmark17,240666129,6.374006891250611,241193439,115.64664483070374,0.0021862534992089897
benchmark18,385570357,10.432385277748107,-1,-1,-1
benchmark19,1494979389,12.221232104301453,1497418025,3759.547756433487,0.0016285606018399572
benchmark2,48185722,4.918667650222778,47956937,16.833492279052734,0.004770634121190851
benchmark20,535689572,11.09898133277893,-1,-1,-1
benchmark21,28699566,6.042783212661743,28542626,13.947952508926392,0.005498442925328594
benchmark22,21803301,4.762938857078552,21729716,9.156806945800781,0.0033863765177602873
benchmark23,170814,2.2234041690826416,171513,0.06830096244812012,0.004075492819786255
benchmark24,146106729,7.282033801078796,146712446,83.3047411441803,0.004128599968948783
benchmark25,275561585,9.000017356872558,276327386,162.73402309417725,0.002771353976474847
benchmark26,48444194,5.373439455032349,48691772,29.224947452545166,0.0050845962229511795
benchmark27,9915950,5.098682594299317,9885803,4.222360134124756,0.0030495246567223723
benchmark28,1424350782,12.160500550270081,1427162368,2126.5101935863495,0.0019700533471465526
benchmark29,264787457,5.721957159042359,264111808,133.01903557777405,0.0025581930816209473
benchmark3,286502,2.382722806930542,288033,0.13338255882263184,0.005315363170192305
benchmark30,16995403,3.6223698377609255,16875481,6.974546909332275,0.007106286333408807
benchmark4,5218390,3.764847826957703,5247725,1.7839677333831787,0.005590041398891901
benchmark5,766732686,9.60709342956543,-1,-1,-1
benchmark6,15046650,3.8972732543945314,15161908,7.212520122528076,0.00760181370313024
benchmark7,195655,1.5988223552703857,194917,0.07439875602722168,0.0037862269581411577
benchmark8,143663421,7.053512740135193,144231164,78.70393371582031,0.0039363406926397684
benchmark9,5341538,3.5688274621963503,5275122,2.045093059539795,0.012590419709724248
benchmark_apache,572483499,6.889774823188782,571152961,220.2333469390869,0.002329565091758318
benchmark_bugzilla,3184467,2.6939178228378298,3200074,1.0751967430114746,0.004877074717647155
benchmark_gcc,805788563,6.028641700744629,808590191,251.54115056991577,0.0034648305546907134
benchmark_spins,52327,2.3412443876266478,52327,0.028844356536865234,0.0
benchmark_spinv,6607494,6.749631261825561,6643127,2.6450729370117188,0.00536388962607519
