Benchmark, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
benchmark1,65254182.2,6.9872363090515135,65403055,65136931,0.004068984239344783
benchmark10,358526263.9,9.09129569530487,359467313,357683074,0.004963563961099295
benchmark11,63565608.6,7.585812735557556,63726804,63390605,0.005275629388224145
benchmark12,328249660.0,6.82655177116394,329281816,327501800,0.005405752499858662
benchmark13,198289138.4,6.049902987480164,198799349,197606137,0.0060020920893458255
benchmark14,48691957.6,5.9500868082046505,48875829,48565274,0.006353958722623405
benchmark15,7059660.2,4.873992228507996,7092841,7022588,0.009904775815501856
benchmark16,21684875.6,3.993534302711487,21796404,21605830,0.00874336886029457
benchmark17,241122023.9,6.374006891250611,241690861,240666129,0.00423984587485085
benchmark18,384921330.7,10.432385277748107,385570357,384583095,0.0025605236037375143
benchmark19,1497165473.1,12.221232104301453,1498952838,1494979389,0.0026508165562444466
benchmark2,47990904.3,4.918667650222778,48185722,47873656,0.0064763167811411025
benchmark20,534059631.8,11.09898133277893,535689572,532550512,0.00585984899478312
benchmark21,28576568.8,6.042783212661743,28699566,28497849,0.007028573184695546
benchmark22,21747058.9,4.762938857078552,21803301,21698759,0.004794778552110068
benchmark23,171444.4,2.2234041690826416,172023,170814,0.0070281299593658985
benchmark24,146632863.2,7.282033801078796,147066435,146106729,0.0065256630447321304
benchmark25,276223541.2,9.000017356872558,276826321,275561585,0.004568698508983183
benchmark26,48712877.2,5.373439455032349,48903027,48444194,0.009382507140099937
benchmark27,9883437.4,5.098682594299317,9915950,9858738,0.005769694280426989
benchmark28,1426796041.1,12.160500550270081,1428460679,1424350782,0.002877150950264274
benchmark29,264014412.0,5.721957159042359,264787457,263580544,0.004558044454499973
benchmark3,287743.9,2.382722806930542,289260,286502,0.009534674687132684
benchmark30,16894764.7,3.6223698377609255,16995403,16838251,0.009246735720241527
benchmark4,5242322.2,3.764847826957703,5258261,5218390,0.007582544875577686
benchmark5,765679319.4,9.60709342956543,766732686,763949264,0.003630237827111495
benchmark6,15147992.0,3.8972732543945314,15233743,15046650,0.012281485909273906
benchmark7,195106.5,1.5988223552703857,195655,194448,0.006169022003015512
benchmark8,144277991.0,7.053512740135193,144746901,143663421,0.0074853416032720456
benchmark9,5282357.8,3.5688274621963503,5341538,5232019,0.020503270780812568
benchmark_apache,571100350.9,6.889774823188782,572483499,570057621,0.004237463619890291
benchmark_bugzilla,3195860.9,2.6939178228378298,3208380,3184467,0.0074532941858508036
benchmark_gcc,809080798.6,6.028641700744629,810628822,805788563,0.005970992973156338
benchmark_spins,52327.0,2.3412443876266478,52327,52327,0.0
benchmark_spinv,6638412.1,6.749631261825561,6658652,6607494,0.007682936426171544
