Benchmark, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
benchmark1,1702160.6,257.64966011047363,1705301,1696426,0.00520435981682999
benchmark10,5620121.2,353.0472968578339,5629269,5612885,0.002910502233949026
benchmark11,1676492.5,283.56433923244475,1680042,1673216,0.004062993663253657
benchmark12,5132151.2,386.3100386142731,5136384,5126826,0.0018608421800239234
benchmark13,3561608.2,235.5215279340744,3566250,3555328,0.003062600771118121
benchmark14,1361441.7,282.3674705028534,1363626,1358165,0.004004763769537982
benchmark15,350182.0,168.30028970241545,350976,349610,0.0038920040116703137
benchmark16,815376.8,195.48144340515137,818176,813397,0.005841041536295369
benchmark17,4202495.6,268.87624044418334,4209322,4197034,0.002919234974183491
benchmark18,5224584.0,452.82460989952085,5227861,5216938,0.002089382254042332
benchmark19,14483455.8,346.38917324543,14532608,14450688,0.005636978579481398
benchmark2,1340142.5,203.5655007839203,1341781,1338026,0.002798519281462474
benchmark20,7647231.6,514.9680396556854,7662250,7615829,0.006058403210545206
benchmark21,885623.2,268.92535104751585,889514,882688,0.007673853362622735
benchmark22,714888.3,199.580033326149,716970,713728,0.004521807049109447
benchmark23,25353.3,70.22573628425599,25397,25312,0.003346851990392566
benchmark24,2933759.6,310.9598984956741,2939562,2927274,0.004180214603400099
benchmark25,4729241.3,340.04092314243314,4734976,4721322,0.0028836471399221455
benchmark26,1396530.8,262.0465362071991,1400490,1389909,0.007555212818370713
benchmark27,435592.4,127.68565850257873,436565,434688,0.004299474305086298
benchmark28,14011050.3,402.6413820505142,14084778,13942784,0.010081380054410513
benchmark29,4570453.0,250.60495693683623,4577962,4562944,0.0032804990517614607
benchmark3,34734.5,60.691371536254884,34794,34666,0.003678795194573777
benchmark30,640648.3,173.03867108821868,642048,638122,0.006114807615629984
benchmark4,298674.8,145.48982501029968,299093,298154,0.0031394917299970245
benchmark5,9807189.0,411.72672030925753,9827669,9775786,0.005279278331413075
benchmark6,559957.0,159.75842707157136,560981,558592,0.0042586112542136005
benchmark7,27666.7,58.321441078186034,27701,27605,0.003465578859968954
benchmark8,2863513.2,283.06003267765044,2866517,2861056,0.0019050994639138719
benchmark9,258952.2,131.756759929657,259413,258560,0.003288192958718337
benchmark_apache,8081134.5,266.347273516655,8112810,8066389,0.005721938514522095
benchmark_bugzilla,202666.3,100.75192229747772,203008,202154,0.004206730769230769
benchmark_gcc,11128012.3,222.79742603302003,11135658,11111082,0.002206964330262298
benchmark_spins,12836.6,49.921602153778075,12880,12784,0.007453416149068323
benchmark_spinv,370022.1,96.41416554450988,370944,369408,0.004140786749482402
