Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,1769189262,18.64149444103241,-1,-1,-1
benchmark10,16070835302,24.69082145690918,-1,-1,-1
benchmark11,1718119233,20.411851263046266,1711444601,2338.3737671375275,0.003899998864175914
benchmark12,14533774665,17.564977622032167,-1,-1,-1
benchmark13,7642120083,15.068684434890747,-1,-1,-1
benchmark14,1220669216,15.724007105827331,1215186383,474.78051495552063,0.004511927615963089
benchmark15,101148518,12.914025807380677,101715339,35.19146728515625,0.005572620664421125
benchmark16,470501335,9.386927819252014,-1,-1,-1
benchmark17,9600471153,16.12265634536743,-1,-1,-1
benchmark18,20567381112,32.47681987285614,-1,-1,-1
benchmark19,112565376540,37.14236483573914,-1,-1,-1
benchmark2,1203115516,12.316969919204713,-1,-1,-1
benchmark20,26139959360,30.856312251091005,-1,-1,-1
benchmark21,669745307,15.474875235557557,666586328,255.99416780471802,0.0047390395921831745
benchmark22,473348471,12.029717421531677,-1,-1,-1
benchmark23,912353,5.4050798416137695,916320,0.38448190689086914,0.004329273616203946
benchmark24,5171493958,19.180975079536438,-1,-1,-1
benchmark25,11201467176,24.532861137390135,-1,-1,-1
benchmark26,1212943910,13.436849546432494,1206989211,387.1860716342926,0.0049335146873984775
benchmark27,158242699,13.670005130767823,159096036,74.12556600570679,0.005363659720597941
benchmark28,104878808161,36.95416262149811,-1,-1,-1
benchmark29,10365883402,13.720045232772828,-1,-1,-1
benchmark3,1749483,5.875517725944519,1761568,1.7794981002807617,0.00686036531090483
benchmark30,323755644,8.639093232154845,326439830,148.26233744621277,0.008222605678969996
benchmark4,72068848,9.335193490982055,72601527,31.795812368392944,0.0073370219885320045
benchmark5,41152655669,25.352477955818177,-1,-1,-1
benchmark6,298112942,9.367187547683717,299635720,127.4067735671997,0.005082097688486539
benchmark7,1134691,3.621394634246826,1146461,0.4497795104980469,0.010266376265743013
benchmark8,5078547410,18.534011840820312,-1,-1,-1
benchmark9,79719485,8.64062578678131,78971678,40.206703662872314,0.009469306198609582
benchmark_apache,27158125658,16.632875990867614,-1,-1,-1
benchmark_bugzilla,37337589,6.4013361692428585,37129797,15.588149309158325,0.005596367790537611
benchmark_gcc,40641335756,13.489728307723999,-1,-1,-1
benchmark_spins,176668,14.423421478271484,175722,0.1088876724243164,0.005383503488464734
benchmark_spinv,90855478,18.85543394088745,90424378,37.84187126159668,0.004767519661567371
