Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,3,1,2143894089,0.92139555194884
XSEngine.cnf,3,2,2175901479,0.935151579789398
XSEngine.cnf,3,3,2187697630,0.940221289677253
XSEngine.cnf,3,4,2180184158,0.936992175088051
XSEngine.cnf,3,5,2182964143,0.938186947640775
XSEngine.cnf,3,6,2179057137,0.936507807813716
XSEngine.cnf,3,7,2168688546,0.932051629835338
XSEngine.cnf,3,8,2167711795,0.931631845093461
XSEngine.cnf,3,9,2172219878,0.933569313761027
XSEngine.cnf,3,10,2181311179,0.937476542362387
aaed2000.cnf,3,1,2314254210,0.94560617039933
aaed2000.cnf,3,2,2283164246,0.932902785581509
aaed2000.cnf,3,3,2286344805,0.93420236460041
aaed2000.cnf,3,4,2289843420,0.935631901562061
aaed2000.cnf,3,5,2276405559,0.93014118052387
aaed2000.cnf,3,6,2286821889,0.934397301514535
aaed2000.cnf,3,7,2288730224,0.935177048762435
aaed2000.cnf,3,8,2266227770,0.925982527581667
aaed2000.cnf,3,9,2305110103,0.941869880771065
aaed2000.cnf,3,10,2233627041,0.912661842944383
adder.cnf,3,1,2231757075,0.927394075331345
adder.cnf,3,2,2223099064,0.923796287652974
adder.cnf,3,3,2229283358,0.926366136172758
adder.cnf,3,4,2214209141,0.920102130249954
adder.cnf,3,5,2236936421,0.929546323373167
adder.cnf,3,6,2232143594,0.927554691123547
adder.cnf,3,7,2206787988,0.917018311943104
adder.cnf,3,8,2220393435,0.922671978769739
adder.cnf,3,9,2219465791,0.922286501533325
adder.cnf,3,10,2223949404,0.924149641647838
adderII.cnf,3,1,2233151279,0.918369564222539
adderII.cnf,3,2,2236818963,0.919877876439656
adderII.cnf,3,3,2240252539,0.921289913198875
adderII.cnf,3,4,2245715047,0.923536335614901
adderII.cnf,3,5,2233385387,0.918465839680437
adderII.cnf,3,6,2249616839,0.925140923289916
adderII.cnf,3,7,2257654529,0.928446373275355
adderII.cnf,3,8,2237443250,0.920134610582806
adderII.cnf,3,9,2249694874,0.925173014697971
adderII.cnf,3,10,2248680409,0.924755822280811
aeb.cnf,3,1,1887238767,0.929654514986622
aeb.cnf,3,2,1888780464,0.930413955499318
aeb.cnf,3,3,1903259014,0.937546094587026
aeb.cnf,3,4,1921826414,0.946692402697792
aeb.cnf,3,5,1907347864,0.939560263610083
aeb.cnf,3,6,1913380593,0.942531988147862
aeb.cnf,3,7,1903795257,0.93781024808726
aeb.cnf,3,8,1896019739,0.933980025043172
aeb.cnf,3,9,1918407867,0.945008425180577
aeb.cnf,3,10,1921290171,0.946428249197558
aim711.cnf,3,1,2218780042,0.949940983079767
aim711.cnf,3,2,2208843282,0.945686692260331
aim711.cnf,3,3,2196175808,0.940263282784442
aim711.cnf,3,4,2213697882,0.947765124285663
aim711.cnf,3,5,2213773736,0.947797600160678
aim711.cnf,3,6,2209146694,0.945816594047846
aim711.cnf,3,7,2181687860,0.93406046172719
aim711.cnf,3,8,2187300991,0.936463648649445
aim711.cnf,3,9,2185708076,0.935781663408718
aim711.cnf,3,10,2200196024,0.941984484465971
aki3068net.cnf,3,1,1889000826,0.929082811462811
aki3068net.cnf,3,2,1892434892,0.930771816385475
aki3068net.cnf,3,3,1915879001,0.942302525320146
aki3068net.cnf,3,4,1888934786,0.929050330466496
aki3068net.cnf,3,5,1887680031,0.928433193995696
aki3068net.cnf,3,6,1883849726,0.926549303586979
aki3068net.cnf,3,7,1880481699,0.924892779168792
aki3068net.cnf,3,8,1876849513,0.923106331257183
aki3068net.cnf,3,9,1894416085,0.931746242832068
aki3068net.cnf,3,10,1885302600,0.927263882554887
am31_sim.cnf,3,1,1671359662,0.925091574652833
am31_sim.cnf,3,2,1692913717,0.937021666740998
am31_sim.cnf,3,3,1708114374,0.945435175837574
am31_sim.cnf,3,4,1689291686,0.935016885581434
am31_sim.cnf,3,5,1699385872,0.940603981305885
