Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,6,1,222822884150881216,0.9651032105731362848899150378
XSEngine.cnf,6,2,222128108986854720,0.9620939606750225463247108899
XSEngine.cnf,6,3,222609707823761856,0.9641798890816966013073710017
XSEngine.cnf,6,4,222715328574491840,0.9646373597136790361146123825
XSEngine.cnf,6,5,222888253617803424,0.9653863425442553647345767056
XSEngine.cnf,6,6,222920523745766080,0.9655261127667845576779882252
XSEngine.cnf,6,7,222897685892893120,0.9654271961531957758300197139
XSEngine.cnf,6,8,222723586134002592,0.9646731253273667627863934521
XSEngine.cnf,6,9,222470054871700832,0.9635750162343060855214540523
XSEngine.cnf,6,10,222456027385669952,0.9635142595851124368509500810
aaed2000.cnf,6,1,242233657810805632,0.9618181945463302299017557621
aaed2000.cnf,6,2,242659248213968480,0.9635080529949280170649763683
aaed2000.cnf,6,3,242027035353545824,0.9609977749539812030782675895
aaed2000.cnf,6,4,242693149931997984,0.9636426638888964511808132861
aaed2000.cnf,6,5,242710100791012736,0.9637099693358806682387317449
aaed2000.cnf,6,6,242022081677852000,0.9609781057822597277086992134
aaed2000.cnf,6,7,242646554420003072,0.9634576507423917999604030440
aaed2000.cnf,6,8,242355022865304032,0.9623000892535052329171594668
aaed2000.cnf,6,9,242248247933747552,0.9618761264036659551775939065
aaed2000.cnf,6,10,242127308585754112,0.9613959220159358538054377382
adder.cnf,6,1,236950163926783808,0.9726355731677710591159827667
adder.cnf,6,2,236816111060498624,0.9720853115250977053440696221
adder.cnf,6,3,236479387817109376,0.9707031263457111637877404759
adder.cnf,6,4,236894860261347744,0.9724085620889928834454319480
adder.cnf,6,5,237170903094050144,0.9735416656680531430959777938
adder.cnf,6,6,236673170105125472,0.9714985659590491679991912344
adder.cnf,6,7,236366403013847488,0.9702393451140010621658822813
adder.cnf,6,8,236855833137657056,0.9722483631332676999126590577
adder.cnf,6,9,236579900034449568,0.9711157099730145364289173608
adder.cnf,6,10,236355320334861280,0.9701938528144839552568340623
adderII.cnf,6,1,241199036315024928,0.9660779206650370139193042836
adderII.cnf,6,2,241427224382330176,0.9669918855670149213947584640
adderII.cnf,6,3,241503485863170784,0.9672973367577116636334542550
adderII.cnf,6,4,241187705185906848,0.9660325359328903876820011138
adderII.cnf,6,5,241173243086900896,0.9659746106826506889249479530
adderII.cnf,6,6,241059186326699392,0.9655177775235440915861516653
adderII.cnf,6,7,241525924480700672,0.9673872104707125720952289954
adderII.cnf,6,8,240168798128106272,0.9619514930448695545386246866
adderII.cnf,6,9,241178461370047392,0.9659955115461393140179363395
adderII.cnf,6,10,241170671218778752,0.9659643095427886686923576618
aeb.cnf,6,1,169112123817056992,0.9655395026691239171792585036
aeb.cnf,6,2,169107395322774016,0.9655125055034842887311850556
aeb.cnf,6,3,169313937052702496,0.9666917479770239105945967165
aeb.cnf,6,4,169312177612969312,0.9666817025200418167409489688
aeb.cnf,6,5,169466073607131360,0.9675603660854449665431882146
aeb.cnf,6,6,169157676811398976,0.9657995858288010379197371562
aeb.cnf,6,7,169200123294962080,0.9660419324784942805175300929
aeb.cnf,6,8,169737824572170976,0.9691119183083834646952736265
aeb.cnf,6,9,169247353255299744,0.9663115902143573966581679734
aeb.cnf,6,10,168958750156565696,0.9646638213487621152396704859
aim711.cnf,6,1,224769773521487520,0.9676372601886450794369001500
aim711.cnf,6,2,224728501379879936,0.9674595829974391964038225132
aim711.cnf,6,3,224291728024624992,0.9655792671249765121230307681
aim711.cnf,6,4,224319054971627968,0.9656969100433858779980723459
aim711.cnf,6,5,224668353924363104,0.9672006472955795251530891646
aim711.cnf,6,6,224128998872433344,0.9648787156739848412784091255
aim711.cnf,6,7,224748362717650144,0.9675450863556645765938840962
aim711.cnf,6,8,224394802733230272,0.9660230052978942388228810274
aim711.cnf,6,9,224543164109162624,0.9666617032557016067385732207
aim711.cnf,6,10,224509744943304608,0.9665178332433685244938346815
aki3068net.cnf,6,1,169076167783900832,0.9618562274540161144673813871
aki3068net.cnf,6,2,168921135340719936,0.9609742644731568179704365227
aki3068net.cnf,6,3,169187572336444800,0.9624899960332052325744113271
aki3068net.cnf,6,4,169098608796760608,0.9619838919749978024463502584
aki3068net.cnf,6,5,169013167508797536,0.9614978256299525846982019856
aki3068net.cnf,6,6,169071231294746208,0.9618281442954174227045261390
aki3068net.cnf,6,7,169003934939892096,0.9614453025333299668333541641
aki3068net.cnf,6,8,169015862565038720,0.9615131575165389594920218182
aki3068net.cnf,6,9,169215910452564928,0.9626512085436478518298174664
aki3068net.cnf,6,10,169392263192148864,0.9636544604094825867989254866
am31_sim.cnf,6,1,133478894809974592,0.9719954812658363785305975066
am31_sim.cnf,6,2,133752110443115104,0.9739850419465854155719843379
am31_sim.cnf,6,3,133537920083311520,0.9724253042655372088544773209
am31_sim.cnf,6,4,133792740189175312,0.9742809084176984910987190618
am31_sim.cnf,6,5,133528927193658064,0.9723598178969309539168470835
am31_sim.cnf,6,6,133732097489641712,0.9738393072941475621150325017
am31_sim.cnf,6,7,133810682837116992,0.9744115670716084233326959115
am31_sim.cnf,6,8,133650773300473440,0.9732471032269674863435076027
am31_sim.cnf,6,9,133614823307542240,0.9729853147941938136697584792
am31_sim.cnf,6,10,133976738593307856,0.9756207877868794322972737831
asb.cnf,6,1,186992432052339904,0.9687649598024370462798000447
asb.cnf,6,2,186594832151052128,0.9667050857842163963346411734
asb.cnf,6,3,186656528169579328,0.9670247187247182010378277067
asb.cnf,6,4,186418454828368576,0.9657913152746603408235224046
asb.cnf,6,5,186596754519691712,0.9667150451358190900085930554
asb.cnf,6,6,186762979332997312,0.9675762178197226476192819325
asb.cnf,6,7,186424342082327360,0.9658218157889438906847151296
asb.cnf,6,8,186691010657052192,0.9672033645940932077456692134
asb.cnf,6,9,186560890329759136,0.9665292409824795902341181861
