Benchmark, twise, seed, approx combinations, approx coverage
assabet.cnf,3,9,2027065172,0.887992646861744
assabet.cnf,3,10,2036210859,0.891999080852461
at91sam7sek.cnf,3,1,2172768155,0.890465485573225
at91sam7sek.cnf,3,2,2311852136,0.947466267912389
at91sam7sek.cnf,3,3,2219129482,0.909465746352946
at91sam7sek.cnf,3,4,2168352790,0.888655936712864
at91sam7sek.cnf,3,5,2194517913,0.899379188019572
at91sam7sek.cnf,3,6,2296807190,0.941300398298328
at91sam7sek.cnf,3,7,2183561268,0.894888826639907
at91sam7sek.cnf,3,8,2159113231,0.884869288619517
at91sam7sek.cnf,3,9,2154043739,0.882791658917055
at91sam7sek.cnf,3,10,2238017430,0.917206593322098
at91sam7xek.cnf,3,1,2310000730,0.879436473884506
at91sam7xek.cnf,3,2,2332412857,0.887968956876896
at91sam7xek.cnf,3,3,2316896769,0.882061853237495
at91sam7xek.cnf,3,4,2305776906,0.877828428987971
at91sam7xek.cnf,3,5,2339136495,0.890528701736542
at91sam7xek.cnf,3,6,2400942247,0.914058665125194
at91sam7xek.cnf,3,7,2421544164,0.921901986127842
at91sam7xek.cnf,3,8,2349566755,0.894499588393404
at91sam7xek.cnf,3,9,2334050667,0.888592484754003
at91sam7xek.cnf,3,10,2348446148,0.894072963996324
atlas_mips32_4kc.cnf,3,1,1847466782,0.887821426257044
atlas_mips32_4kc.cnf,3,2,1950381446,0.937278252580238
atlas_mips32_4kc.cnf,3,3,1827207990,0.878085830584675
atlas_mips32_4kc.cnf,3,4,1871439686,0.899341881200089
atlas_mips32_4kc.cnf,3,5,1826330109,0.877663954765798
atlas_mips32_4kc.cnf,3,6,1856920885,0.892364704269521
atlas_mips32_4kc.cnf,3,7,1970775297,0.947078752409574
atlas_mips32_4kc.cnf,3,8,1851991245,0.889995709027833
atlas_mips32_4kc.cnf,3,9,1852936656,0.890450037165474
atlas_mips32_4kc.cnf,3,10,1864078991,0.89580461449694
atlas_mips64_5kc.cnf,3,1,1868017507,0.914752410281454
atlas_mips64_5kc.cnf,3,2,1808219178,0.885469673166532
atlas_mips64_5kc.cnf,3,3,1821692053,0.89206722636584
atlas_mips64_5kc.cnf,3,4,1847111321,0.904514827409972
atlas_mips64_5kc.cnf,3,5,1813595054,0.888102194280465
atlas_mips64_5kc.cnf,3,6,1826536979,0.89443974574509
atlas_mips64_5kc.cnf,3,7,1787843942,0.875492092029733
atlas_mips64_5kc.cnf,3,8,1821492947,0.891969725837756
atlas_mips64_5kc.cnf,3,9,1907706076,0.934187567616611
atlas_mips64_5kc.cnf,3,10,1814258743,0.888427197183357
brutus.cnf,3,1,1847397891,0.892058694091024
brutus.cnf,3,2,1862575240,0.899387427221371
brutus.cnf,3,3,1860182415,0.898231996463824
brutus.cnf,3,4,1810343281,0.874166020743455
brutus.cnf,3,5,1951109777,0.942138371045077
brutus.cnf,3,6,1858404887,0.897373676058612
brutus.cnf,3,7,1847534624,0.892124718774723
brutus.cnf,3,8,1853072305,0.894798715808724
brutus.cnf,3,9,1861754843,0.898991279602051
brutus.cnf,3,10,1889579983,0.912427290421498
buildroot.cnf,3,1,226380452,0.991188397400691
buildroot.cnf,3,2,226130532,0.99009414300686
buildroot.cnf,3,3,225738765,0.988378823060045
buildroot.cnf,3,4,226664145,0.992430524128239
buildroot.cnf,3,5,226285888,0.990774356617647
buildroot.cnf,3,6,225981931,0.989443505614184
buildroot.cnf,3,7,226090004,0.98991669445503
buildroot.cnf,3,8,225860348,0.988911164337114
buildroot.cnf,3,9,225813066,0.988704143945593
buildroot.cnf,3,10,226076495,0.989857546397227
busybox_1_28_0.cnf,3,1,1282078408,0.991232468041032
busybox_1_28_0.cnf,3,2,1280847111,0.990280496962988
busybox_1_28_0.cnf,3,3,1279988934,0.989617001734912
busybox_1_28_0.cnf,3,4,1283309704,0.992184438345932
busybox_1_28_0.cnf,3,5,1282376904,0.991463248721008
busybox_1_28_0.cnf,3,6,1284429065,0.993049866668986
busybox_1_28_0.cnf,3,7,1280138183,0.989732392848045
busybox_1_28_0.cnf,3,8,1281220231,0.990568972812957
busybox_1_28_0.cnf,3,9,1280138183,0.989732392848045
busybox_1_28_0.cnf,3,10,1281332167,0.990655515567948
calm16_ceb.cnf,3,1,1691511624,0.91760591109865
calm16_ceb.cnf,3,2,1746121484,0.947230496368582
calm16_ceb.cnf,3,3,1708058230,0.926582061932491
calm16_ceb.cnf,3,4,1689026603,0.916257844714446
calm16_ceb.cnf,3,5,1691814676,0.917770309795427
calm16_ceb.cnf,3,6,1680480554,0.911621810904406
calm16_ceb.cnf,3,7,1694905800,0.91944717303071
calm16_ceb.cnf,3,8,1681813980,0.912345163651294
calm16_ceb.cnf,3,9,1723938123,0.935196536392889
calm16_ceb.cnf,3,10,1670358638,0.906130905715543
calm32_ceb.cnf,3,1,1735878348,0.94247799424612
calm32_ceb.cnf,3,2,1691329794,0.918290797102462
calm32_ceb.cnf,3,3,1743818294,0.946788909460383
calm32_ceb.cnf,3,4,1687268905,0.916085977551606
calm32_ceb.cnf,3,5,1710482641,0.928689646103292
calm32_ceb.cnf,3,6,1712119119,0.929578155660914
calm32_ceb.cnf,3,7,1694602749,0.920067815674766
calm32_ceb.cnf,3,8,1713694986,0.930433757075075
calm32_ceb.cnf,3,9,1684541443,0.914605129012823
calm32_ceb.cnf,3,10,1677692481,0.910886552779721
ceb_v850.cnf,3,1,1726577103,0.893188087022625
ceb_v850.cnf,3,2,1708649134,0.883913639731804
ceb_v850.cnf,3,3,1698864502,0.878851880993596
ceb_v850.cnf,3,4,1815775065,0.939331729786487
ceb_v850.cnf,3,5,1699748275,0.879309071995296
ceb_v850.cnf,3,6,1711489833,0.885383182274219
ceb_v850.cnf,3,7,1707575980,0.883358478675472
ceb_v850.cnf,3,8,1838942547,0.951316667437262
ceb_v850.cnf,3,9,1694571890,0.876631238837536
ceb_v850.cnf,3,10,1776447160,0.918986726848291
cerf.cnf,3,1,2086287851,0.875914215333079
cerf.cnf,3,2,2103845913,0.883285852038018
cerf.cnf,3,3,2097368939,0.880566537157177
cerf.cnf,3,4,2098305369,0.880959691125969
cerf.cnf,3,5,2077547839,0.872244778850806
cerf.cnf,3,6,2192260505,0.920406136249305
cerf.cnf,3,7,2092452682,0.878502479030938
cerf.cnf,3,8,2215827325,0.930300510430845
cerf.cnf,3,9,2256015777,0.947173367348531
cerf.cnf,3,10,2231746634,0.936984127480475
cerfpda.cnf,3,1,2176066711,0.88233798174631
cerfpda.cnf,3,2,2145192492,0.869819295649626
cerfpda.cnf,3,3,2279681238,0.924350955048386
cerfpda.cnf,3,4,2180431130,0.88410763918948
cerfpda.cnf,3,5,2169520084,0.879683496189766
cerfpda.cnf,3,6,2176551647,0.88253461057637
cerfpda.cnf,3,7,2177602340,0.882960639032377
cerfpda.cnf,3,8,2148829507,0.871294009847706
cerfpda.cnf,3,9,2143576041,0.869163867162198
cerfpda.cnf,3,10,2182451694,0.884926924900133
cma230.cnf,3,1,1879562330,0.926112281170596
cma230.cnf,3,2,1853485158,0.913263338168319
cma230.cnf,3,3,1879228008,0.925947551485859
cma230.cnf,3,4,1873945709,0.92334481684991
cma230.cnf,3,5,1780736534,0.877418081509731
cma230.cnf,3,6,1875216135,0.923970790834459
cma230.cnf,3,7,1853886345,0.91346101408564
cma230.cnf,3,8,1816174743,0.894879466031941
cma230.cnf,3,9,1796784025,0.885325123622602
cma230.cnf,3,10,1874948677,0.923839006889578
cma28x.cnf,3,1,1781532745,0.888367070715412
cma28x.cnf,3,2,1776223346,0.88571952171575
cma28x.cnf,3,3,1756493357,0.875881098828284
cma28x.cnf,3,4,1792807024,0.893989026437398
cma28x.cnf,3,5,1768554214,0.881895284216388
cma28x.cnf,3,6,1769799629,0.882516314437966
cma28x.cnf,3,7,1767833185,0.881535740771325
cma28x.cnf,3,8,1874938836,0.934944320379519
cma28x.cnf,3,9,1788677491,0.89192982143826
cma28x.cnf,3,10,1879658302,0.937297697378919
cme555.cnf,3,1,2007554375,0.859507540393491
cme555.cnf,3,2,2008621372,0.859964360880397
cme555.cnf,3,3,2006258736,0.858952829893992
cme555.cnf,3,4,2000085398,0.856309797841424
cme555.cnf,3,5,2012203432,0.861497971933966
cme555.cnf,3,6,2005953880,0.858822309877201
cme555.cnf,3,7,2005801452,0.858757049868805
cme555.cnf,3,8,2005039311,0.858430749398691
cme555.cnf,3,9,1989644072,0.851839483841233
cme555.cnf,3,10,2026150604,0.867469266983529
cq7708.cnf,3,1,1943094842,0.89824510186954
cq7708.cnf,3,2,1943664957,0.898508652055142
cq7708.cnf,3,3,1891214367,0.874262030356958
cq7708.cnf,3,4,1961124733,0.906579878396105
cq7708.cnf,3,5,2033885674,0.940215477363265
cq7708.cnf,3,6,2024621304,0.93593278626938
cq7708.cnf,3,7,1971671862,0.911455557523164
cq7708.cnf,3,8,1988917845,0.919427952602311
cq7708.cnf,3,9,1963904044,0.90786468572427
cq7708.cnf,3,10,1926561504,0.890602145100241
cq7750.cnf,3,1,2116598234,0.928280236337837
cq7750.cnf,3,2,2128821425,0.93364098286404
cq7750.cnf,3,3,1972135401,0.864922915800984
cq7750.cnf,3,4,1988789498,0.872226932619489
cq7750.cnf,3,5,1975038409,0.866196093161261
cq7750.cnf,3,6,2063045381,0.904793466746492
cq7750.cnf,3,7,1985122541,0.8706187087932
cq7750.cnf,3,8,2004068486,0.878927865448314
cq7750.cnf,3,9,2002387798,0.878190763135372
cq7750.cnf,3,10,2131113273,0.934646122700649
csb281.cnf,3,1,2058534293,0.933509883345505
csb281.cnf,3,2,2069306061,0.938394694797663
csb281.cnf,3,3,1953984772,0.88609847442003
csb281.cnf,3,4,1945465922,0.882235322517834
csb281.cnf,3,5,1961377163,0.889450796547245
csb281.cnf,3,6,1936806265,0.878308317063822
csb281.cnf,3,7,1952928716,0.885619571194216
csb281.cnf,3,8,2018404174,0.915311564845921
csb281.cnf,3,9,2075712800,0.941300040701713
csb281.cnf,3,10,1959617070,0.888652624655382
dreamcast.cnf,3,1,2024487075,0.901986137502413
dreamcast.cnf,3,2,1981144698,0.882675456933902
dreamcast.cnf,3,3,2057583551,0.916731878742663
dreamcast.cnf,3,4,2017853038,0.899030421220708
dreamcast.cnf,3,5,1981513255,0.882839663121723
dreamcast.cnf,3,6,2072473279,0.923365819958208
dreamcast.cnf,3,7,2005838059,0.893677290230537
dreamcast.cnf,3,8,1998172060,0.890261795553641
dreamcast.cnf,3,9,2007901982,0.894596846575382
dreamcast.cnf,3,10,2109550177,0.939884990878374
e7t.cnf,3,1,2152284862,0.913881920961429
e7t.cnf,3,2,2051606098,0.871132699485772
e7t.cnf,3,3,2102821941,0.892879464428868
e7t.cnf,3,4,2175301506,0.923655020797879
e7t.cnf,3,5,2060751784,0.875016050262315
e7t.cnf,3,6,2083082502,0.884497898981599
e7t.cnf,3,7,2128887148,0.903947014948776
e7t.cnf,3,8,2139861971,0.908607035795706
e7t.cnf,3,9,2061209068,0.875210217673759
e7t.cnf,3,10,2118369608,0.89948116108868
ea2468.cnf,3,1,2591327668,0.89087333899225
ea2468.cnf,3,2,2530746409,0.870046089257623
ea2468.cnf,3,3,2586942156,0.889365642467848
ea2468.cnf,3,4,2515754077,0.864891870810819
ea2468.cnf,3,5,2552877946,0.877654697195437
ea2468.cnf,3,6,2593979373,0.891784969472851
ea2468.cnf,3,7,2576845280,0.885894434350639
ea2468.cnf,3,8,2542475104,0.874078300932628
ea2468.cnf,3,9,2551552094,0.877198882127032
ea2468.cnf,3,10,2697191889,0.92726843221289
eb40.cnf,3,1,1993138184,0.916271243735548
eb40.cnf,3,2,2061096656,0.947512626877806
eb40.cnf,3,3,1984043636,0.912090363115194
eb40.cnf,3,4,1964565550,0.903136036602323
eb40.cnf,3,5,2032022747,0.934146977183502
eb40.cnf,3,6,1988698326,0.914230183941337
eb40.cnf,3,7,2015910359,0.926739905305183
eb40.cnf,3,8,1987409335,0.91363761820946
eb40.cnf,3,9,2008964130,0.923546634544433
eb40.cnf,3,10,1984473300,0.912287885179058
eb40a.cnf,3,1,1995455638,0.916011933327869
eb40a.cnf,3,2,1967029117,0.902962767030645
eb40a.cnf,3,3,1993373898,0.915056312643664
eb40a.cnf,3,4,1947790966,0.894131512877169
eb40a.cnf,3,5,1999690902,0.917956127070348
eb40a.cnf,3,6,1987846519,0.912518974790791
eb40a.cnf,3,7,2078509893,0.954137906787198
eb40a.cnf,3,8,2021585066,0.928006621359631
eb40a.cnf,3,9,2037090441,0.935124348389112
eb40a.cnf,3,10,1974063963,0.906192106116119
eb42.cnf,3,1,2016195007,0.942545781883539
eb42.cnf,3,2,1964181015,0.918229895479539
eb42.cnf,3,3,2006526191,0.938025732133903
eb42.cnf,3,4,1956417733,0.914600658884235
eb42.cnf,3,5,1962204907,0.917306089868733
eb42.cnf,3,6,2009702080,0.93951042025697
eb42.cnf,3,7,1956841184,0.914798616895489
eb42.cnf,3,8,1952888968,0.912951005673876
eb42.cnf,3,9,2030098340,0.949045415018119
eb42.cnf,3,10,1979001827,0.925158438495561
eb55.cnf,3,1,2117908693,0.912077274783305
eb55.cnf,3,2,2117523997,0.91191160546977
eb55.cnf,3,3,2115600514,0.911083257610143
eb55.cnf,3,4,2106521674,0.907173455609347
eb55.cnf,3,5,2119909116,0.912938756850159
eb55.cnf,3,6,2119216662,0.912640551569016
eb55.cnf,3,7,2139990279,0.921586708711377
eb55.cnf,3,8,2126756715,0.91588767502372
eb55.cnf,3,9,2136989645,0.920294485826421
eb55.cnf,3,10,2076746157,0.894350630673417
ebsa285.cnf,3,1,2020844796,0.892648346173426
ebsa285.cnf,3,2,1982647271,0.875775720632535
ebsa285.cnf,3,3,2012292030,0.888870415062527
ebsa285.cnf,3,4,2011567219,0.888550251266812
ebsa285.cnf,3,5,1994896572,0.881186486615689
ebsa285.cnf,3,6,2004319112,0.885348614634823
ebsa285.cnf,3,7,2027658017,0.895657884793019
ebsa285.cnf,3,8,1991127556,0.879521635408035
ebsa285.cnf,3,9,2007145874,0.886597253040563
ebsa285.cnf,3,10,2101516231,0.928282563694101
ec555.cnf,3,1,2024542331,0.862328728696713
ec555.cnf,3,2,2032792984,0.865842992144538
ec555.cnf,3,3,2008270208,0.855397819461115
ec555.cnf,3,4,2007200679,0.854942266831392
ec555.cnf,3,5,2011707980,0.856862095862214
ec555.cnf,3,6,1999255605,0.851558160973532
ec555.cnf,3,7,2023854776,0.862035873160931
ec555.cnf,3,8,2014992963,0.858261293681299
ec555.cnf,3,9,2011249611,0.856666859264297
ec555.cnf,3,10,2008804973,0.855625595988946
ecos-icse11.cnf,3,1,2000501717,0.890883543044363
ecos-icse11.cnf,3,2,2058780691,0.916836921839744
ecos-icse11.cnf,3,3,1991897253,0.887051716603438
ecos-icse11.cnf,3,4,2068397445,0.921119551443759
ecos-icse11.cnf,3,5,2049742389,0.912811894297683
ecos-icse11.cnf,3,6,2009033875,0.89468316945021
ecos-icse11.cnf,3,7,2009395407,0.894844170516266
ecos-icse11.cnf,3,8,2134196287,0.950421753481897
ecos-icse11.cnf,3,9,2058202240,0.916579320223121
ecos-icse11.cnf,3,10,1997031009,0.889337932453961
edb7xxx.cnf,3,1,2069824333,0.934629879666097
edb7xxx.cnf,3,2,2087189119,0.942470954674663
edb7xxx.cnf,3,3,2086971151,0.942372531150327
edb7xxx.cnf,3,4,1940206017,0.876100685108792
edb7xxx.cnf,3,5,1928072463,0.870621774684299
edb7xxx.cnf,3,6,2060524365,0.930430475961078
edb7xxx.cnf,3,7,2038727562,0.920588122172789
edb7xxx.cnf,3,8,1952412226,0.881612402923179
edb7xxx.cnf,3,9,2007848759,0.906644788203817
edb7xxx.cnf,3,10,1978059796,0.893193571856528
edosk2674.cnf,3,1,1821090358,0.927243514297738
edosk2674.cnf,3,2,1811629152,0.922426157562859
edosk2674.cnf,3,3,1759912155,0.896093444396517
edosk2674.cnf,3,4,1745145003,0.888574462234815
edosk2674.cnf,3,5,1860021942,0.947066286191925
edosk2674.cnf,3,6,1782670191,0.907681140298839
edosk2674.cnf,3,7,1760934988,0.896614239677922
edosk2674.cnf,3,8,1762852800,0.897590730894204
edosk2674.cnf,3,9,1741948649,0.886946976534899
edosk2674.cnf,3,10,1762405311,0.897362883181351
embtoolkit.cnf,3,1,10572947178,0.9570186192462548
embtoolkit.cnf,3,2,10638523145,0.9629542794115361
embtoolkit.cnf,3,3,10582729228,0.9579040491861562
embtoolkit.cnf,3,4,10620045939,0.9612818005959374
embtoolkit.cnf,3,5,10607003205,0.9601012272823916
embtoolkit.cnf,3,6,10614611466,0.9607898950033688
embtoolkit.cnf,3,7,10590699788,0.9586255106857172
embtoolkit.cnf,3,8,10625842709,0.9618064997860584
embtoolkit.cnf,3,9,10581642334,0.957805668121952
embtoolkit.cnf,3,10,10628741094,0.9620688493811188
excalibur_arm9.cnf,3,1,1886185992,0.882850128361052
excalibur_arm9.cnf,3,2,1893226364,0.886145452019627
excalibur_arm9.cnf,3,3,1883088229,0.881400186269561
excalibur_arm9.cnf,3,4,1942086544,0.909014997423792
excalibur_arm9.cnf,3,5,1990946724,0.931884542827957
excalibur_arm9.cnf,3,6,1874850994,0.877544657701364
excalibur_arm9.cnf,3,7,1880624099,0.880246823082672
excalibur_arm9.cnf,3,8,2020868304,0.945889667908838
excalibur_arm9.cnf,3,9,1884425899,0.882026297446409
excalibur_arm9.cnf,3,10,1890903041,0.885057995099963
fads.cnf,3,1,1735772070,0.905806425332045
fads.cnf,3,2,1717557643,0.896301291970646
fads.cnf,3,3,1825085570,0.952414354775738
fads.cnf,3,4,1711716465,0.893253094194363
fads.cnf,3,5,1696077181,0.885091789965754
fads.cnf,3,6,1710962764,0.89285977803242
fads.cnf,3,7,1709078513,0.891876488410334
fads.cnf,3,8,1714919691,0.894924686186617
fads.cnf,3,9,1733259735,0.904495372328647
fads.cnf,3,10,1712972632,0.893908620435138
financial.cnf,3,1,278692553,0.837768100771592
financial.cnf,3,2,282989651,0.850685459314321
financial.cnf,3,3,274361079,0.824747405717277
financial.cnf,3,4,281906782,0.847430284047709
financial.cnf,3,5,270528068,0.813225123147686
financial.cnf,3,6,270648387,0.813586809956436
financial.cnf,3,7,279483219,0.84014489464726
financial.cnf,3,8,259200919,0.779174970021109
financial.cnf,3,9,278365974,0.836786382869062
financial.cnf,3,10,287458632,0.864119509433178
flexanet.cnf,3,1,2056172620,0.875019642031123
flexanet.cnf,3,2,2090843873,0.889774253143896
flexanet.cnf,3,3,2070847076,0.881264466571255
flexanet.cnf,3,4,2082936395,0.886409166719912
flexanet.cnf,3,5,2082023993,0.886020887222528
flexanet.cnf,3,6,2085901699,0.887671074022517
flexanet.cnf,3,7,2185733620,0.930155294912833
flexanet.cnf,3,8,2078222321,0.884403057260101
flexanet.cnf,3,9,2056324687,0.875084355280688
flexanet.cnf,3,10,2064992500,0.878773007952491
freebsd-icse11.cnf,3,1,-,-
freebsd-icse11.cnf,3,2,-,-
freebsd-icse11.cnf,3,3,-,-
freebsd-icse11.cnf,3,4,-,-
freebsd-icse11.cnf,3,5,-,-
freebsd-icse11.cnf,3,6,-,-
freebsd-icse11.cnf,3,7,-,-
freebsd-icse11.cnf,3,8,-,-
freebsd-icse11.cnf,3,9,-,-
freebsd-icse11.cnf,3,10,-,-
frv400.cnf,3,1,1951005189,0.881394381773861
frv400.cnf,3,2,2046927058,0.924728452284039
frv400.cnf,3,3,2040441998,0.92179873406407
frv400.cnf,3,4,1958915537,0.884967994147825
frv400.cnf,3,5,1936467254,0.874826662577706
frv400.cnf,3,6,1948867258,0.880428540994634
frv400.cnf,3,7,1979225888,0.894143484486951
frv400.cnf,3,8,1953998294,0.882746559587602
frv400.cnf,3,9,1953071857,0.882328028477859
frv400.cnf,3,10,1949722430,0.880814877125619
gps4020.cnf,3,1,1807070500,0.890853824649987
gps4020.cnf,3,2,1861566153,0.917719218613227
gps4020.cnf,3,3,1900108589,0.936719958496883
gps4020.cnf,3,4,1785017523,0.879982096676248
gps4020.cnf,3,5,1922898899,0.947955178610574
gps4020.cnf,3,6,1799764194,0.887251944898111
gps4020.cnf,3,7,1792793041,0.883815289652911
gps4020.cnf,3,8,1785754857,0.880345589309184
gps4020.cnf,3,9,1795273163,0.885037945973901
gps4020.cnf,3,10,1802378377,0.888540690923175
grg.cnf,3,1,2010817445,0.911004727923106
