Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,6,1,173207316989161312,0.7502054304611128181796316574
XSEngine.cnf,6,2,183153332863658880,0.7932841828498899424249912064
XSEngine.cnf,6,3,171665231703892448,0.7435262625405377913654589709
XSEngine.cnf,6,4,169027682776714944,0.7321023598863602787020926485
XSEngine.cnf,6,5,173005096633973184,0.7493295621014556914608538405
XSEngine.cnf,6,6,167916091131018336,0.7272877706210061802866725897
XSEngine.cnf,6,7,167835451112078304,0.7269384979622472858541673211
XSEngine.cnf,6,8,160417809985270112,0.6948107867819429581290998271
XSEngine.cnf,6,9,160384313362018112,0.6946657042929200903218465493
XSEngine.cnf,6,10,161505829933122720,0.6995232809624291125320083201
aaed2000.cnf,6,1,188695892272622368,0.7492399861530161820085743688
aaed2000.cnf,6,2,182782991120679584,0.7257620931059054048557186275
aaed2000.cnf,6,3,194283618602108160,0.7714267330255033438580308956
aaed2000.cnf,6,4,197289401255845472,0.7833615585627302988388761149
aaed2000.cnf,6,5,181899182628873312,0.7222528240159024062754987596
aaed2000.cnf,6,6,196243005352810688,0.7792067163854154290770110004
aaed2000.cnf,6,7,205841221159266368,0.8173175994115951169339706276
aaed2000.cnf,6,8,186436344147344128,0.7402681755549898828434715993
aaed2000.cnf,6,9,186055583885150848,0.7387563206325671602064989805
aaed2000.cnf,6,10,189399048085285856,0.7520319518126726852891642468
adder.cnf,6,1,194198151607024480,0.7971466546644128848265793017
adder.cnf,6,2,187528881986764704,0.7697705652276647292661433797
adder.cnf,6,3,185799179724086080,0.7626704648361332160693763877
adder.cnf,6,4,195994835506298848,0.8045217019959353211056467970
adder.cnf,6,5,181983853168974880,0.7470092714895886135226920471
adder.cnf,6,6,180754543132629248,0.7419631864732837403066142111
adder.cnf,6,7,181374451612495840,0.7445077934473177857461220255
adder.cnf,6,8,195713775305681408,0.8033680030712675081823152452
adder.cnf,6,9,160992333606034400,0.6608430569430063418709231268
adder.cnf,6,10,167175658019619040,0.6862244332857021668025091773
