Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,4,1,1158919278670,0.864499548564243
XSEngine.cnf,4,2,1182601531925,0.882165401246776
XSEngine.cnf,4,3,1185411290786,0.884261349870304
XSEngine.cnf,4,4,1183451543009,0.882799469737927
XSEngine.cnf,4,5,1184325165512,0.883451151242722
XSEngine.cnf,4,6,1182365417735,0.881989271110345
XSEngine.cnf,4,7,1178445922182,0.879065510846337
XSEngine.cnf,4,8,1172094450471,0.874327610176345
XSEngine.cnf,4,9,1168788851812,0.871861788267057
XSEngine.cnf,4,10,1188268272485,0.886392524521119
aaed2000.cnf,4,1,1264450158817,0.883760583401425
aaed2000.cnf,4,2,1267225812171,0.885700567362316
aaed2000.cnf,4,3,1257141787141,0.878652552237794
aaed2000.cnf,4,4,1259917440495,0.880592536198685
aaed2000.cnf,4,5,1268728230042,0.886750650424056
aaed2000.cnf,4,6,1257956657850,0.879222088813167
aaed2000.cnf,4,7,1250648286174,0.874114057649535
aaed2000.cnf,4,8,1231957189274,0.86105031244331
aaed2000.cnf,4,9,1274610577976,0.890861992579911
aaed2000.cnf,4,10,1222509781985,0.854447247768013
adder.cnf,4,1,1204272502385,0.859437676214424
adder.cnf,4,2,1205891148222,0.860592834381708
adder.cnf,4,3,1215014424755,0.867103725868024
adder.cnf,4,4,1193628679763,0.851841636146936
adder.cnf,4,5,1217049994519,0.868556424774858
adder.cnf,4,6,1214989899818,0.867086223471496
adder.cnf,4,7,1201427609703,0.857407398224305
adder.cnf,4,8,1195247325600,0.85299679431422
adder.cnf,4,9,1200839011217,0.856987340709059
adder.cnf,4,10,1205621373916,0.860400308020613
adderII.cnf,4,1,1217871126207,0.859917265207699
adderII.cnf,4,2,1206347568913,0.85178068518664
adderII.cnf,4,3,1202100740686,0.848782074877073
adderII.cnf,4,4,1209700328039,0.854148009114837
adderII.cnf,4,5,1198822487318,0.846467358147029
adderII.cnf,4,6,1219063218340,0.860758980381683
adderII.cnf,4,7,1220677509772,0.861898803014458
adderII.cnf,4,8,1212134182813,0.855866510930123
adderII.cnf,4,9,1219162559352,0.860829123313496
adderII.cnf,4,10,1215710459214,0.858391656453486
aeb.cnf,4,1,973253489702,0.869460859264044
aeb.cnf,4,2,973800967601,0.869949951375739
aeb.cnf,4,3,986595728883,0.881380215182686
aeb.cnf,4,4,984628863836,0.879623106482932
aeb.cnf,4,5,983797508508,0.878880411054162
aeb.cnf,4,6,993712941577,0.887738412640971
aeb.cnf,4,7,980066548007,0.875547338881903
aeb.cnf,4,8,984466648163,0.879478190302384
aeb.cnf,4,9,983716400671,0.878807952963441
aeb.cnf,4,10,990205027628,0.884604600218417
aim711.cnf,4,1,1195580177538,0.886521344827963
aim711.cnf,4,2,1196297568688,0.887053289551549
aim711.cnf,4,3,1191921482673,0.883808426737673
aim711.cnf,4,4,1199238872403,0.889234262918253
aim711.cnf,4,5,1192710612938,0.884393565933618
aim711.cnf,4,6,1195914960074,0.886769585698475
aim711.cnf,4,7,1178099746516,0.873559625062997
aim711.cnf,4,8,1186373657780,0.879694720875519
aim711.cnf,4,9,1180251919966,0.875155459233755
aim711.cnf,4,10,1193547569279,0.885014168110641
aki3068net.cnf,4,1,975564555269,0.871525461215088
aki3068net.cnf,4,2,966519954485,0.863445421993482
aki3068net.cnf,4,3,980713020330,0.876124868156027
aki3068net.cnf,4,4,967792162068,0.86458195498307
aki3068net.cnf,4,5,965029086224,0.862113547396603
aki3068net.cnf,4,6,964790547303,0.861900447461781
aki3068net.cnf,4,7,961848567268,0.859272214923974
aki3068net.cnf,4,8,964492373650,0.86163407254169
aki3068net.cnf,4,9,964214078242,0.861385455950916
aki3068net.cnf,4,10,970594994399,0.867085879225489
am31_sim.cnf,4,1,831146332137,0.866814492640585
am31_sim.cnf,4,2,844652632528,0.880900408042238
am31_sim.cnf,4,3,839098317425,0.8751077327433
am31_sim.cnf,4,4,833112766676,0.868865315571911
am31_sim.cnf,4,5,844048902626,0.88027076942331
am31_sim.cnf,4,6,846808810752,0.883149117398235
am31_sim.cnf,4,7,841288994500,0.877392421448384
am31_sim.cnf,4,8,837183631162,0.873110878835083
am31_sim.cnf,4,9,839667548476,0.875701392013142
am31_sim.cnf,4,10,845515103818,0.881799891785054
asb.cnf,4,1,1073758425157,0.896271979414993
asb.cnf,4,2,1076748197419,0.898767558532681
asb.cnf,4,3,1083846217897,0.904692314711255
asb.cnf,4,4,1063477050040,0.887690059859043
asb.cnf,4,5,1070532052212,0.893578908424353
asb.cnf,4,6,1078920621868,0.900580892999183
asb.cnf,4,7,1069198484728,0.892465772414833
asb.cnf,4,8,1073156168874,0.895769272830129
asb.cnf,4,9,1079178731704,0.900796338678768
asb.cnf,4,10,1084943184698,0.905607958847822
asb2305.cnf,4,1,1091261419928,0.894251117629466
asb2305.cnf,4,2,1106306691654,0.906580199195368
asb2305.cnf,4,3,1104055473218,0.90473540328702
asb2305.cnf,4,4,1107220552604,0.907329076742921
asb2305.cnf,4,5,1098416282482,0.900114280862912
asb2305.cnf,4,6,1094627102936,0.897009178838749
asb2305.cnf,4,7,1093557216947,0.896132444149949
asb2305.cnf,4,8,1097034346412,0.898981831889162
asb2305.cnf,4,9,1096387956961,0.898452138015242
asb2305.cnf,4,10,1100310872255,0.901666831874993
assabet.cnf,4,1,1148282059757,0.877293686856156
